"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.733061370711856,29,1,0.499999982758621,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,3,0,122,-1.01991101438385,125,0.976,0.487999996096,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,1,1,42,-0.528956613668165,44,0.954545454545455,0.488372081665766,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.343519582659506,28,1,0.499999982142858,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,2,1,212,-0.873473961375712,215,0.986046511627907,0.495327100489126,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.859107901267522,16,1,0.499999968750002,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,1,0,13,1.43274361518328,14,0.928571428571429,0.464285681122451,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,1.45943553322185,2,1,0.499999750000125,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",10210,59,17673,109,-0.280139705741091,28051,0.367865673238031,0.507491228424698,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",279,0,155,2,0.390966016666656,436,0.644495412844037,0.821428320688078,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",54,0,67,0,-0.0948225161712906,121,0.446280991735537,0.223140494023632,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",19,0,0,0,4.17290046645177,19,1,0.499999973684212,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.470640270622406,2,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.0506622996355432,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",12,0,66,0,-0.88240797946943,78,0.153846153846154,0.0769230759368836,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",1,0,4,0,-0.161856924049883,5,0.2,0.099999980000004,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",84,0,125,1,-0.257536656952202,210,0.404761904761905,0.700956436838027,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",18,0,31,0,-0.210363476588857,49,0.36734693877551,0.183673465639317,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",5,0,1,0,0.330939614607803,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,0,0,1,-0.664679207531814,1,1,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",32,2,65,5,-0.378733575553228,109,0.339449541284404,0.522091258030204,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",41,3,27,3,0.292860214881876,76,0.578947368421053,0.551470542135243,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",1,0,2,0,0.491399501866633,4,0.25,0.16666661111113,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,1,19,8,0.2497502695598,40,0.2,0.444444395061734,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",0,0,6,0,-0.403036734948336,7,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,0.442230179164002,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,0.147933794012157,10,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,0.521460746315721,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,1.01843068114426,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,0.923769741176923,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",2,0,27,6,0.642090938318022,44,0.181818181818182,0.53448267409831,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,0.167601523093209,2,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",1,0,2,0,0.623317196922472,3,0.333333333333333,0.16666661111113,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_1",0,0,2,0,0.461370237464831,5,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_2",0,0,2,1,0.304556075596635,4,0.25,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_3",0,0,2,0,-0.109345686405838,3,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_1",2,0,4,0,0.167241747561239,8,0.25,0.166666638888894,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_2",2,0,1,0,0.361720410120832,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_4",1,0,1,0,0.124017287220215,7,0.142857142857143,0.249999875000062,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_5",0,0,1,0,-0.235347072713718,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","Doublet",8,0,8,1,0.554871479927949,19,0.473684210526316,0.749999484375501,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","Eryth",0,0,0,0,6.71263800070001,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","HSPC",0,0,4,0,-0.129093365605106,4,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","MAIT",0,0,3,0,0.00194487815036106,3,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","NK Proliferating",1,0,3,0,-0.0173231003396129,4,0.25,0.124999968750008,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","NK_1",0,0,0,1,-0.488149346511636,1,1,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","NK_2",0,0,1,0,0.735087462187965,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","NK_3",1,0,0,0,0.186309850755673,2,0.5,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","NK_CD56bright",0,0,0,0,0.171439128767561,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","Platelet",6,0,30,0,-0.808749320556433,39,0.153846153846154,0.0833333310185186,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","Treg Memory",0,0,2,0,0.887152587034151,2,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","Treg Naive",1,0,2,1,-0.151999074473892,4,0.5,0.66666611111163,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","cDC1",1,0,2,0,-0.419072444373305,3,0.333333333333333,0.16666661111113,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","cDC2_1",7,0,11,0,-0.324091703933101,18,0.388888888888889,0.194444433641976,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","cDC2_2",15,4,31,8,-0.332800753017352,58,0.396551724137931,0.496376780272004,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","dnT_2",0,0,1,0,2.23559128085948,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","gdT_1",0,0,1,0,-0.443057479838004,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","gdT_2",0,2,0,0,0.562874907551433,2,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","gdT_3",0,0,1,1,0.726692699775321,2,0.5,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","pDC",5,0,1,0,0.769066262429621,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD14 Mono",0,0,1,0,-0.907407766434558,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD16 Mono",1,1,0,1,0.0367391695978166,5,0.4,0.749999375000562,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD4 Naive",0,0,0,0,-1.76607203607075,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD4 TCM_1",0,0,0,0,-0.510215579139158,1,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.500273964988571,2,1,0.499999750000125,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD8 TEM_4",0,3,0,1,0.994245770384028,4,0.25,0.124999968750008,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD8 TEM_5",1,7,0,4,0.341093279621192,12,0.416666666666667,0.681817665289758,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK Proliferating",0,9,0,19,-0.236207225709694,29,0.655172413793103,0.339285702168368,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
