"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.764949489173184,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",2,1,8,114,-1.02706647033836,125,0.928,0.595652159603026,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.582034338054015,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.13829778893726,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,2,40,173,-0.836268189361585,215,0.804651162790698,0.494285711461225,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.904477125063368,16,0.875,0.499999964285717,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,1.48618739388906,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,1.46657397096233,2,0.5,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,10115,0,17936,-0.279417545839229,28051,0.639406794766675,0.31970339737194,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,280,0,156,0.407231758259983,436,0.357798165137615,0.178899082158488,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,55,0,66,-0.0972683512899407,121,0.545454545454545,0.272727270473328,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,19,0,0,4.16403141491961,19,0,0,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-0.581554289241123,2,1,0.499999750000125,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.306006270641151,1,1,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,11,0,67,-0.887819277394219,78,0.858974358974359,0.429487173980934,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,2,0,3,-0.15776719722012,5,0.6,0.299999940000012,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,79,0,131,-0.276108373384895,210,0.623809523809524,0.311904760419501,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,17,0,32,-0.22507395955339,49,0.653061224489796,0.326530605581008,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","pDC",0,5,0,1,0.467592391334207,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.697726101960972,1,1,0.4999995000005,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD14 Mono",5,33,17,54,-0.383915110091228,109,0.541284403669725,0.4239811824901,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD16 Mono",30,16,14,16,0.287839376633171,76,0.605263157894737,0.590909075348657,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 CTL",0,1,0,3,0.590964936247435,4,0.75,0.374999906250023,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 Naive",0,1,0,39,0.24846210946936,40,0.975,0.4874999878125,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 Proliferating",0,0,1,6,-0.390632018513815,7,0.857142857142857,0.499999916666681,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TCM_1",0,1,0,29,0.511420847951241,30,0.966666666666667,0.483333317222223,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TCM_2",0,1,2,7,0.175002639876571,10,0.7,0.437499945312507,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TCM_3",0,0,0,24,0.465832212353603,24,1,0.499999979166667,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TEM_1",0,0,0,3,0.501595848914052,3,1,0.499999833333389,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TEM_3",0,0,0,9,0.729405680009771,9,1,0.499999944444451,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 Naive",0,0,0,44,0.486150642032598,44,1,0.499999988636364,"vaccine","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
