"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.686534363119256,29,1,0.499999982758621,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,2,0,123,-0.444356623950761,125,0.984,0.491999996064,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.71309140460959,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.805500392276398,28,1,0.499999982142858,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.787882909267254,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-1.00261900110035,16,1,0.499999968750002,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-1.15401961735767,14,1,0.499999964285717,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-1.3732662399545,2,1,0.499999750000125,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",27302,161,581,7,1.07648513901522,28051,0.973548180100531,0.510414798600798,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",424,2,10,0,0.928703909297693,436,0.972477064220184,0.488479261547283,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",117,0,4,0,1.14095331305006,121,0.966942148760331,0.483471070384537,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",17,0,2,0,1.02520944470916,19,0.894736842105263,0.447368397506926,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.511525096739688,2,0,0,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.529549982346957,1,0,0,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
