"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.666188843690192,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,2,10,113,-0.468788859899006,125,0.904,0.491304343553875,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.737743325960971,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.82811028029504,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,1,40,174,-0.794468172981983,215,0.809302325581395,0.497142854302041,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.964151503779431,16,0.875,0.499999964285717,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-1.08913671871577,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-1.36204603605462,2,0.5,0.4999995000005,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,27518,0,533,1.07633039055652,28051,0.0190011051299419,0.00950055256463226,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,427,0,9,0.931804697971325,436,0.0206422018348624,0.0103211008937589,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,120,0,1,1.16042263141238,121,0.00826446280991736,0.00413223137080801,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,17,0,2,1.1281874714442,19,0.105263157894737,0.0526315761772855,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-0.50692376055004,2,1,0.499999750000125,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.664528259884939,1,1,0.4999995000005,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,16,0,62,3.99959176531767,78,0.794871794871795,0.397435892340565,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,0,0,5,-0.0609164979023042,5,1,0.49999990000002,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,180,0,30,0.8333094295562,210,0.142857142857143,0.0714285710884354,"vaccine","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
