"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.285050991728909,29,1,0.499999982758621,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,5,0,120,-0.0138295659166661,125,0.96,0.47999999616,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.410602138135909,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.579019057398837,28,1,0.499999982142858,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.548713026513555,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.615003172883602,16,1,0.499999968750002,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.857554503253087,14,1,0.499999964285717,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.733272453098538,2,1,0.499999750000125,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",27393,165,490,3,1.11224338730293,28051,0.97664967380842,0.500141855437714,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",426,2,8,0,1.19594763349765,436,0.977064220183486,0.490783409007412,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",120,0,1,0,1.19957380553363,121,0.991735537190083,0.495867764496961,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",17,0,2,0,0.700144407011009,19,0.894736842105263,0.447368397506926,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.256386337706912,2,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.094884969555115,1,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",16,0,62,0,2.77236984760332,78,0.205128205128205,0.102564101249178,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",2,0,3,0,-0.0614877054995737,5,0.4,0.199999960000008,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",187,1,22,0,0.94019224469877,210,0.89047619047619,0.447368418912113,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",35,0,14,0,0.795605092482943,49,0.714285714285714,0.357142849854228,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",1,0,5,0,0.645989860192813,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,1,0,0,0.806475496469441,1,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",88,6,9,1,0.882113042197587,109,0.81651376146789,0.525036803970798,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",67,6,1,0,1.0921661242323,76,0.881578947368421,0.49264705157872,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,-0.392595982167012,4,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-0.857323787012871,40,0.225,0.499999944444451,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,-0.531417508591831,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.89257984039997,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.764719511953755,10,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.731672675395147,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,-0.650287158897269,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,-0.95548072965624,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,-0.914220469696743,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-1.16140343848207,2,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",0,0,3,0,-0.424388389859787,3,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_1",0,0,2,0,-0.8379131508784,5,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_2",0,0,2,1,-0.851808362930705,4,0.25,0.4999995000005,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_3",0,0,2,0,-0.962116844574008,3,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_1",0,0,6,0,-0.475555883071402,8,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_2",0,0,3,0,-0.587311782636819,3,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
