"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.290828913347384,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,4,10,111,-0.0109426231861187,125,0.888,0.482608691455577,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.442970539339285,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.565739002201183,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.552866527521539,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.64956274316672,16,0.875,0.499999964285717,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.864115167211796,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.740036656920668,2,0.5,0.4999995000005,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,27574,0,477,1.1125936000609,28051,0.0170047413639442,0.00850237068166902,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,428,0,8,1.19610894179064,436,0.018348623853211,0.00917431190556351,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,121,0,0,1.20542875102259,121,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,17,0,2,0.659523111458626,19,0.105263157894737,0.0526315761772855,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-0.311247447146169,2,1,0.499999750000125,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.360312879110415,1,1,0.4999995000005,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,17,0,61,2.74664874068766,78,0.782051282051282,0.391025636012492,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,2,0,3,-0.0147215757100731,5,0.6,0.299999940000012,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,189,0,21,0.945640289100672,210,0.1,0.0499999997619048,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,35,0,14,0.808089983060608,49,0.285714285714286,0.142857139941691,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","pDC",0,0,0,6,0.68072759039185,6,1,0.499999916666681,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"DCs","ASDC_mDC",0,1,0,0,0.600881980611524,1,0,0,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"DCs","CD14 Mono",19,79,3,8,0.895509428872298,109,0.247706422018349,0.477795173155865,"vaccine","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
