"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.679497029422903,29,1,0.499999982758621,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,1,0,124,-0.257700909858134,125,0.992,0.495999996032,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.520206370401805,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.7754931640256,28,1,0.499999982142858,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.729358820577458,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.839406429775247,16,1,0.499999968750002,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.588239426466135,14,1,0.499999964285717,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.462634407543169,2,1,0.499999750000125,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",27025,158,858,10,1.06675849491675,28051,0.963780257388328,0.514376185670551,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",422,2,12,0,1.43480473792096,436,0.967889908256881,0.486175114087154,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",118,0,3,0,1.25610128228113,121,0.975206611570248,0.487603301755345,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",17,0,2,0,0.51775967830511,19,0.894736842105263,0.447368397506926,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.748113893844044,2,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.307486760641804,1,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",13,0,65,0,2.88563745934527,78,0.166666666666667,0.0833333322649573,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",0,0,5,0,0.171686290879591,5,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",162,1,47,0,0.973315963689628,210,0.771428571428571,0.387559806758087,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",26,0,23,0,0.587174342468644,49,0.530612244897959,0.265306117034569,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",0,0,6,0,0.357047129136672,6,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,1,0,0,0.782975835673333,1,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",85,6,12,1,0.920960545276225,109,0.788990825688073,0.509572886604447,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",62,6,6,0,1.36089722090615,76,0.815789473684211,0.455882346237024,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,-0.158722182336717,4,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-1.07823578030705,40,0.225,0.499999944444451,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,0.202358517294708,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.84446349185956,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.0620121797678053,10,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.680130956626034,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
