"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.673079629761885,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,2,10,113,-0.262043649848052,125,0.904,0.491304343553875,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.546453922811371,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.778697567806865,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.732282591770022,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.840790987618126,16,0.875,0.499999964285717,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.62616039420832,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.504793233297348,2,0.5,0.4999995000005,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,27153,0,898,1.06730859921464,28051,0.0320131189618908,0.0160065594803748,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,425,0,11,1.42884957327965,436,0.0252293577981651,0.0126146788701498,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,115,0,6,1.25769807765312,121,0.0495867768595041,0.024793388224848,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,16,0,3,0.524967439944192,19,0.157894736842105,0.0789473642659282,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-0.750049445980118,2,1,0.499999750000125,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.733503608524229,1,1,0.4999995000005,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,12,0,66,2.89091503420444,78,0.846153846153846,0.42307691765286,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,1,0,4,0.24528038863015,5,0.8,0.399999920000016,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,162,0,48,0.962475750272222,210,0.228571428571429,0.114285713741497,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,25,0,24,0.594840252495361,49,0.489795918367347,0.244897954185756,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","pDC",0,0,0,6,0.351746989960488,6,1,0.499999916666681,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"DCs","ASDC_mDC",0,1,0,0,0.652829118783798,1,0,0,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"DCs","CD14 Mono",19,75,3,12,0.92437185391464,109,0.284403669724771,0.500783678638756,"vaccine","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
