"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.54625244807169,29,1,0.499999982758621,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,1,0,124,-0.206300739175242,125,0.992,0.495999996032,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.54230931016538,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.576309465386148,28,1,0.499999982142858,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.540906332547886,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.769033822535355,16,1,0.499999968750002,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.709839979545083,14,1,0.499999964285717,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.867810075167384,2,1,0.499999750000125,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",25220,145,2663,23,1.17874474917551,28051,0.899896616876404,0.520699269313988,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",404,2,30,0,1.47145683802875,436,0.926605504587156,0.465437786945996,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",111,0,10,0,1.34868600759914,121,0.917355371900826,0.458677682159689,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",16,0,3,0,1.36342054351911,19,0.842105263157895,0.421052609418284,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-1.28014046131994,2,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.735171414286917,1,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",9,0,69,0,2.35632968161935,78,0.115384615384615,0.0576923069526627,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",0,0,5,0,0.749087232973311,5,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",113,1,96,0,1.29747302750528,210,0.538095238095238,0.270334926936197,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",11,0,38,0,0.918592720326765,49,0.224489795918367,0.112244895668472,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",0,0,6,0,0.781108345535139,6,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,0,0,1,1.11640937959103,1,1,0.4999995000005,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",73,5,24,2,0.9155931000064,109,0.688073394495413,0.519145778363532,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",48,5,20,1,1.13589351065289,76,0.644736842105263,0.436274490724724,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,-0.206512542655405,4,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-1.14605872580225,40,0.225,0.499999944444451,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",0,0,6,0,-0.178393482744747,7,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.888966453654134,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.306112475488072,10,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.748967512885561,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,-0.691002108289758,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,-0.716874673322134,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,-1.0114147958619,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-0.623909215756333,2,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",0,0,3,0,-0.118914807032032,3,0,0,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
