"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.555608200993404,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,2,10,113,-0.201566920350774,125,0.904,0.491304343553875,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.528338912138709,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.595534552268007,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.530948865919619,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.8449196434067,16,0.875,0.499999964285717,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.701064009153629,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.845834672429664,2,0.5,0.4999995000005,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,25320,0,2731,1.17906859777849,28051,0.0973583829453495,0.0486791914709394,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,408,0,28,1.47261201955573,436,0.0642201834862385,0.0321100916694723,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,106,0,15,1.34290880875249,121,0.12396694214876,0.0619834705621201,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,16,0,3,1.34701518130907,19,0.157894736842105,0.0789473642659282,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-1.35678034293098,2,1,0.499999750000125,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.700671853858073,1,1,0.4999995000005,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,12,0,66,2.38045040639097,78,0.846153846153846,0.42307691765286,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,0,0,5,0.807962639988475,5,1,0.49999990000002,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,115,0,95,1.30110601624336,210,0.452380952380952,0.226190475113379,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,8,0,41,0.935850884404676,49,0.836734693877551,0.418367338400667,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","pDC",0,0,0,6,0.775912659138907,6,1,0.499999916666681,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"DCs","ASDC_mDC",0,0,0,1,1.08990922564995,1,1,0.4999995000005,"vaccine","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
