"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.638575620934141,29,1,0.499999982758621,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,2,0,123,-0.761638312814389,125,0.984,0.491999996064,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.635042848332851,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.608818726638998,28,1,0.499999982142858,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.682773227726722,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.642590152435533,16,1,0.499999968750002,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.988202496974573,14,1,0.499999964285717,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-1.17562056005353,2,1,0.499999750000125,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",17589,99,10294,69,0.47222799540516,28051,0.629496274642615,0.520764379008253,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",216,2,218,0,0.0991446623405375,436,0.495412844036697,0.248847925693899,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",74,0,47,0,0.497659660606024,121,0.611570247933884,0.305785121439792,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",7,0,12,0,-0.36719158447907,19,0.368421052631579,0.184210516620499,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.452614039506642,2,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.383641436145598,1,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",17,0,61,0,2.67850964726746,78,0.217948717948718,0.108974357577252,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",0,0,5,0,-0.741141391468718,5,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",108,1,101,0,0.202196192695391,210,0.514285714285714,0.258373204505391,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",7,0,42,0,-0.723966652158835,49,0.142857142857143,0.0714285699708455,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",0,0,6,0,0.00125463016288786,6,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,0,0,1,-1.15922147953413,1,1,0.4999995000005,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",54,4,43,3,0.271613783313147,109,0.522935779816514,0.492636196267798,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",36,3,32,3,-0.0126439713609148,76,0.513157894736842,0.514705836793548,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,0.372404408388928,4,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-0.78667295620496,40,0.225,0.499999944444451,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,-0.262508732140886,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.736318132492421,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.648341888764767,10,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.713471962474695,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,0.389044651857152,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,0.36203440158989,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,-0.820277916927086,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-0.322386047146628,2,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",0,0,3,0,0.0501303211226956,3,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_1",0,0,2,0,0.66397041350607,5,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_2",0,0,2,1,-0.302128359446182,4,0.25,0.4999995000005,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_3",0,0,2,0,-0.0299357778838316,3,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_1",0,0,6,0,0.258816659497138,8,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_2",1,0,2,0,0.0584906366816101,3,0.333333333333333,0.16666661111113,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_4",1,0,1,0,0.293406316727152,7,0.142857142857143,0.249999875000062,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_5",0,0,1,0,2.3511464034147,1,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","Doublet",14,0,2,1,0.997130680900383,19,0.789473684210526,0.937499472656752,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","Eryth",0,0,0,0,-0.0083918877897058,1,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","HSPC",0,0,4,0,-0.930599004057657,4,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","MAIT",0,0,3,0,-0.0762390640562809,3,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","NK Proliferating",0,0,4,0,-0.0619300624266004,4,0,0,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","NK_1",0,0,0,1,1.91319448836694,1,1,0.4999995000005,"vaccine","AUCell","WP","gmm_dist_dual","raw","biologist"
