"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.635445788833108,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",1,1,9,114,-0.757714140069177,125,0.92,0.545652164603025,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.660603558056773,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.616293436513562,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.704902497694225,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.701086825231452,16,0.875,0.499999964285717,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.918002947963775,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-1.19388706183494,2,0.5,0.4999995000005,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,17754,0,10297,0.473345317244086,28051,0.367081387472817,0.183540693729866,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,219,0,217,0.0995199279999303,436,0.497706422018349,0.24885321043841,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,77,0,44,0.489356290623114,121,0.363636363636364,0.181818180315552,"vaccine","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
