"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"DCs","ASDC_mDC",0,0,0,1,0.935656204208738,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD14 Mono",44,4,35,2,-0.25990309658043,90,0.511111111111111,0.445147648022045,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD16 Mono",27,2,19,3,-0.483410466552785,53,0.566037735849057,0.593478194489615,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 CTL",0,0,3,0,-1.75328745657267,4,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 Naive",0,0,18,9,-1.71524161200399,37,0.243243243243243,0.499999944444451,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 Proliferating",0,0,5,0,-1.80933993070613,6,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 TCM_1",0,0,17,3,-1.63465110348916,28,0.107142857142857,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-1.85367787877303,10,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-1.6644437326456,23,0.0869565217391304,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 TEM_1",0,0,1,1,-1.70529948227708,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD4 TEM_3",0,0,5,1,-1.63282399024464,8,0.125,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 Naive",0,0,28,5,-1.72216652769688,42,0.119047619047619,0.49999990000002,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-1.67346150895886,2,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 Proliferating",0,0,3,0,-1.74310182526704,3,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TCM_1",0,0,1,0,-1.79474402605167,4,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TCM_2",0,1,2,0,-1.47663730979109,4,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TCM_3",0,0,2,0,-1.53636501171524,3,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TEM_1",0,0,5,0,-1.79321093103041,6,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TEM_2",0,0,3,0,-1.65061209275159,3,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TEM_4",0,0,2,0,-1.77552783503177,6,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","CD8 TEM_5",0,0,1,0,-2.03434787670309,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","Doublet",7,0,7,1,-0.295707865760734,16,0.5,0.749999482143358,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","Eryth",0,0,0,0,-0.51066143858744,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","HSPC",0,0,4,0,-1.37488600324309,4,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","MAIT",0,0,3,0,-1.60583731761014,3,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","NK Proliferating",0,0,4,0,-1.55652626130989,4,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","NK_1",0,0,0,1,-1.90405580119766,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","NK_2",0,0,1,0,-2.04039625158148,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","NK_3",0,0,1,0,-2.08903526622857,2,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","NK_CD56bright",0,0,0,0,-1.21101284638158,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","Platelet",14,0,12,0,0.0211005200292992,28,0.5,0.26923075887574,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","Treg Memory",0,0,2,0,-1.67434356362862,2,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","Treg Naive",0,0,3,1,-1.63282399024464,4,0.25,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","cDC1",2,0,1,0,1.13945283552799,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","cDC2_1",2,0,12,0,0.638043758183433,14,0.142857142857143,0.071428566326531,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","cDC2_2",4,0,33,8,0.590198792751527,45,0.266666666666667,0.554053990093142,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","dnT_2",0,0,1,0,-1.72310858608568,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","gdT_1",0,0,1,0,-1.3906999833939,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","gdT_2",0,0,0,2,-1.72298257827572,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","gdT_3",0,0,1,1,-1.586264104462,2,0.5,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"DCs","pDC",3,0,3,0,1.6871667828493,6,0.5,0.24999995833334,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","ASDC_mDC",0,0,0,1,0.625676991691,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","CD14 Mono",58,0,69,1,0.143996387117578,128,0.4609375,0.72834595489541,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","CD16 Mono",12,0,1,1,-0.263164098697406,14,0.928571428571429,0.961537926036006,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","CD4 TEM_1",0,0,1,0,-1.53031663683685,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","HSPC",0,0,7,0,-1.56250263172545,7,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","NK Proliferating",0,0,2,0,-1.72462067980528,2,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","NK_2",0,0,3,0,-1.86406932283494,3,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","NK_4",0,0,1,0,-1.84584019299311,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","NK_CD56bright",0,0,1,0,-1.19160764364673,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","Platelet",9,0,1,0,0.687370415450628,10,0.9,0.449999955000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","cDC1",5,0,5,0,1.06884645934339,10,0.5,0.249999975000003,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","cDC2_1",19,0,117,0,0.611964377076992,136,0.139705882352941,0.069852940662846,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","cDC2_2",44,0,403,1,0.633284150682866,448,0.100446428571429,0.549216502127531,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","dnT_2",0,0,1,0,-1.50889530914253,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
"Monocytes","pDC",2,0,1,0,1.48899850037523,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","biologist"
