"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"DCs","ASDC_mDC",0,0,0,1,0.935656204208738,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD14 Mono",9,40,11,30,-0.25990309658043,90,0.433333333333333,0.43928569997449,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD16 Mono",19,12,8,14,-0.483410466552785,53,0.622641509433962,0.621082597696042,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 CTL",0,0,0,4,-1.75328745657267,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 Naive",0,0,0,37,-1.71524161200399,37,1,0.499999986486487,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 Proliferating",0,0,1,5,-1.80933993070613,6,0.833333333333333,0.49999990000002,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 TCM_1",0,0,0,28,-1.63465110348916,28,1,0.499999982142858,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 TCM_2",0,0,2,8,-1.85367787877303,10,0.8,0.499999937500008,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 TCM_3",0,0,0,23,-1.6644437326456,23,1,0.499999978260871,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 TEM_1",0,0,0,3,-1.70529948227708,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD4 TEM_3",0,0,0,8,-1.63282399024464,8,1,0.499999937500008,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 Naive",0,0,0,42,-1.72216652769688,42,1,0.499999988095238,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 Naive_2",0,0,0,2,-1.67346150895886,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 Proliferating",0,0,1,2,-1.74310182526704,3,0.666666666666667,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TCM_1",0,0,0,4,-1.79474402605167,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TCM_2",0,1,0,3,-1.47663730979109,4,0.75,0.374999906250023,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TCM_3",0,0,0,3,-1.53636501171524,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TEM_1",0,0,0,6,-1.79321093103041,6,1,0.499999916666681,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TEM_2",0,0,0,3,-1.65061209275159,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TEM_4",0,0,0,6,-1.77552783503177,6,1,0.499999916666681,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","CD8 TEM_5",0,0,0,1,-2.03434787670309,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","Doublet",8,0,5,3,-0.295707865760734,16,0.6875,0.807692117357059,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","Eryth",0,1,0,0,-0.51066143858744,1,0,0,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","HSPC",0,0,0,4,-1.37488600324309,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","MAIT",0,0,0,3,-1.60583731761014,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","NK Proliferating",0,0,0,4,-1.55652626130989,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","NK_1",0,0,0,1,-1.90405580119766,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","NK_2",0,0,0,1,-2.04039625158148,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","NK_3",0,0,0,2,-2.08903526622857,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","NK_CD56bright",0,0,0,1,-1.21101284638158,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","Platelet",15,0,12,1,0.0211005200292992,28,0.571428571428571,0.777777267490212,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","Treg Memory",0,0,0,2,-1.67434356362862,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","Treg Naive",0,0,0,4,-1.63282399024464,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","cDC1",2,0,1,0,1.13945283552799,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","cDC2_1",0,2,6,6,0.638043758183433,14,0.428571428571429,0.374999953125006,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","cDC2_2",1,3,7,34,0.590198792751527,45,0.777777777777778,0.521959439229138,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","dnT_2",0,0,0,1,-1.72310858608568,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","gdT_1",0,0,0,1,-1.3906999833939,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","gdT_2",0,0,0,2,-1.72298257827572,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","gdT_3",0,0,0,2,-1.586264104462,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"DCs","pDC",3,0,3,0,1.6871667828493,6,0.5,0.24999995833334,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","ASDC_mDC",0,0,0,1,0.625676991691,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","CD14 Mono",0,58,0,70,0.143996387117578,128,0.546875,0.27343749786377,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","CD16 Mono",0,12,0,2,-0.263164098697406,14,0.142857142857143,0.071428566326531,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","CD4 TEM_1",0,0,0,1,-1.53031663683685,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","HSPC",0,0,0,7,-1.56250263172545,7,1,0.499999928571439,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","NK Proliferating",0,0,0,2,-1.72462067980528,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","NK_2",0,0,0,3,-1.86406932283494,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","NK_4",0,0,0,1,-1.84584019299311,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","NK_CD56bright",0,0,0,1,-1.19160764364673,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","Platelet",0,9,0,1,0.687370415450628,10,0.1,0.0499999950000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","cDC1",0,5,0,5,1.06884645934339,10,0.5,0.249999975000003,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","cDC2_1",0,19,0,117,0.611964377076992,136,0.860294117647059,0.430147055660683,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","cDC2_2",0,44,0,404,0.633284150682866,448,0.901785714285714,0.4508928561364,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","dnT_2",0,0,0,1,-1.50889530914253,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
"Monocytes","pDC",0,2,0,1,1.48899850037523,3,0.333333333333333,0.16666661111113,"vaccine","AUCell","gmm_dist_dual","qc_tolerant","gmm_dual"
