"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,1.56078126605349,29,1,0.499999982758621,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,17,0,108,1.58794237587933,125,0.864,0.431999996544,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,1.2147894291416,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,1.31650823424165,28,1,0.499999982142858,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",1,3,0,211,1.60869822105667,215,0.986046511627907,0.992990151902413,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,1.41514220939534,16,1,0.499999968750002,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.509465977628089,14,1,0.499999964285717,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.883211879724975,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",26697,163,1186,5,0.917495577105342,28051,0.951909022851235,0.493613513333916,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",432,2,2,0,1.22390025073707,436,0.990825688073395,0.497695851387798,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",118,0,3,0,1.0946144141718,121,0.975206611570248,0.487603301755345,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",15,0,4,0,0.740065174698477,19,0.789473684210526,0.394736821329641,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.745494188830229,2,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.451392252551991,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",36,0,42,0,1.61812769419372,78,0.461538461538462,0.230769227810651,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",4,0,1,0,2.153076046337,5,0.8,0.399999920000016,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",209,1,0,0,1.97810557520013,210,0.995238095238095,0.499999997607656,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",48,0,1,0,1.83364233989316,49,0.979591836734694,0.489795908371512,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",5,0,1,0,2.74939180430094,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,1,0,0,2.2603741669538,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",93,7,4,0,0.880525714428127,109,0.853211009174312,0.479381438356892,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",64,6,4,0,0.661967658325777,76,0.842105263157895,0.470588228373703,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,-0.740170764031587,4,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-0.722326920648086,40,0.225,0.499999944444451,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,-0.720783226221318,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.649829249331857,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.924388916219408,10,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.718807929450022,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,-0.779186167425965,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,-0.774239146400964,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,-0.761143926431905,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-0.738442379356703,2,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",0,0,3,0,-0.783242110129693,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_1",0,0,2,0,-0.736008813734466,5,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_2",0,0,2,1,-0.596438294468245,4,0.25,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_3",0,0,2,0,-0.753928706043662,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_1",0,0,6,0,-0.647287371603328,8,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_2",0,0,3,0,-0.662485634177807,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_4",0,0,2,0,-0.821246820009425,7,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_5",0,0,1,0,-1.21243459259685,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Doublet",14,0,2,1,0.994861824117567,19,0.789473684210526,0.937499472656752,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Eryth",0,0,0,0,0.44183694742799,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","HSPC",0,0,4,0,-0.46791561004388,4,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","MAIT",0,0,3,0,-0.512876656719859,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
