"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,1.5437793992943,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",1,16,7,101,1.56029583433394,125,0.816,0.494123920122339,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,1,43,1.28562892015441,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,1.26883068338592,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,5,33,177,1.60954735770608,215,0.823255813953488,0.486263733591958,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,0,16,1.40466245623992,16,1,0.499999968750002,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,2,12,-0.479082205722434,14,0.857142857142857,0.499999958333337,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.88090716518491,2,0.5,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,26863,0,1188,0.918561741987049,28051,0.0423514313215215,0.0211757156600059,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,434,0,2,1.22828751613142,436,0.00458715596330275,0.00229357797639088,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,119,0,2,1.09872709489124,121,0.0165289256198347,0.00826446274161601,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,16,0,3,0.815520152726916,19,0.157894736842105,0.0789473642659282,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-0.74965909724759,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.271965918474665,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,36,0,42,1.57428030870297,78,0.538461538461538,0.269230765779093,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,4,0,1,2.09625264436148,5,0.2,0.099999980000004,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,210,0,0,1.96756512882589,210,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,49,0,0,1.82928457371469,49,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","pDC",0,5,0,1,2.71741973849603,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","ASDC_mDC",0,1,0,0,2.22160907089298,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
