"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,2,27,1.56565167628112,29,0.931034482758621,0.499999981481482,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","B intermediate lambda",4,14,14,93,1.54998729919731,125,0.776,0.545690540129118,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","B memory kappa",0,0,5,39,1.26715185956511,44,0.886363636363636,0.499999987179488,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","B memory lambda",0,0,2,26,1.30368253934883,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","B naive kappa",0,3,48,164,1.59240768938055,215,0.762790697674419,0.491017961131629,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","B naive lambda",0,0,3,13,1.43827345901002,16,0.8125,0.499999961538465,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","Plasma",0,0,6,8,-0.476361611093554,14,0.571428571428571,0.499999937500008,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"B-cells","Plasmablast",0,0,1,1,-0.875562761552211,2,0.5,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","CD14 Mono",0,26834,0,1217,0.917597358494647,28051,0.0433852625574846,0.021692631277969,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","CD16 Mono",0,434,0,2,1.22828338321717,436,0.00458715596330275,0.00229357797639088,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","Doublet",0,117,0,4,1.09307649981145,121,0.0330578512396694,0.016528925483232,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","Eryth",0,15,0,4,0.772925909196478,19,0.210526315789474,0.105263152354571,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","HSPC",0,0,0,2,-0.734148987699406,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.396304155542756,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","Platelet",0,33,0,45,1.63165449970853,78,0.576923076923077,0.288461534763314,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","cDC1",0,4,0,1,2.15351198031188,5,0.2,0.099999980000004,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","cDC2_1",0,210,0,0,1.97644163474163,210,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","cDC2_2",0,49,0,0,1.83774402546012,49,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","pDC",0,5,0,1,2.72272430718006,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"DCs","ASDC_mDC",0,1,0,0,2.06454433138552,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
"DCs","CD14 Mono",50,50,6,3,0.852908550167063,109,0.486238532110092,0.474730449715088,"vaccine","AUCell","gmm_dist_dual","raw","gmm_single"
