"celltype_clean","FN","FP","TN","TP","Recall","Precision","FPR","FNR","F2","N_total","N_PLA_GT"
"B-cells",2,6,465,0,0,0,0.013,1,0,473,2
"Total-memory-B-cells",99,9,3138,0,0,0,0.003,1,0,3246,99
"T-cells-CD8",156,639,20955,8,0.049,0.012,0.03,0.951,0.03,21758,164
"T-cells-CD4",149,110,38836,10,0.063,0.083,0.003,0.937,0.066,39105,159
"cDC1",14,13,28,3,0.176,0.188,0.317,0.824,0.178,58,17
"pDCs",8,3,4,4,0.333,0.571,0.429,0.667,0.363,19,12
"Early-NK-cells",11,413,501,8,0.421,0.019,0.452,0.579,0.08,933,19
"DCs",210,21,36,228,0.521,0.916,0.368,0.479,0.57,495,438
"Late-NK-cells",527,6748,8963,651,0.553,0.088,0.43,0.447,0.269,16889,1178
"Monocytes",566,4,4,1428,0.716,0.997,0.5,0.284,0.759,2002,1994
"cDC2",107,1974,110,2717,0.962,0.579,0.947,0.038,0.85,4908,2824
"Non-classical-Monocytes",25,171,16,1064,0.977,0.862,0.914,0.023,0.952,1276,1089
"Neutrophils",3,72,5,144,0.98,0.667,0.935,0.02,0.896,224,147
"Classical-Monocytes",431,169,2,28376,0.985,0.994,0.988,0.015,0.987,28978,28807
"Intermediate-Monocytes",36,48,1,2624,0.986,0.982,0.98,0.014,0.985,2709,2660
"NK-cells",0,1,0,0,0,0,1,0,0,1,0
"Naive-B-cells",0,33,6407,0,0,0,0.005,0,0,6440,0
