"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"B cells","B cells","BTLA","CD79A",5.06592624235593e-08,1147,0.68532595674856,1,3.38629894961093,1,2.05404518459054,7,0.828540008602819,3882,0,1844
"CD8 T cells","CD8 T cells","HLA-C","CD8B",9.68266437039526e-07,424,0.179340503192475,98,1.205793906492,54,1.77148161751875,32,0.960333170690497,92,0,1844
"CD8 T cells","CD8 T cells","HLA-B","CD8B",1.42652986370571e-06,415.6,0.174132706324697,108,1.26430023204699,45,1.79188225019147,27,0.96302982012673,54,0,1844
"CD8 T cells","CD8 T cells","HLA-A","CD8B",1.59120534045828e-06,425.2,0.181166502832083,94,1.21528989612074,52,1.80387947296569,25,0.95942355434627,111,0,1844
"NK cells","CD8 T cells","HLA-C","CD8B",1.6491337524716e-06,434.4,0.172557361374083,112,1.11255070393285,70,1.73056996882428,39,0.959592244019823,107,0,1844
"CD8 T cells","CD8 T cells","HLA-A","CD8A",2.03052601630016e-06,418,0.169882794789679,118,1.27075517454585,43,1.86415460595645,17,0.962334092464044,68,0,1844
"NK cells","CD8 T cells","HLA-B","CD8B",2.24424517721237e-06,424.2,0.169762253410485,121,1.1796785982502,58,1.75274889197276,35,0.962574651070892,63,0,1844
"NK cells","CD8 T cells","HLA-A","CD8B",2.39578640286825e-06,431.8,0.177866712191689,102,1.17588154806447,61,1.786558815515,29,0.959064232999959,123,0,1844
"CD8 T cells","CD8 T cells","HLA-C","CD8A",2.72169919298479e-06,417.8,0.16817052504217,127,1.26125918491712,46,1.8317567505095,21,0.963180966174301,51,0,1844
"NK cells","CD8 T cells","HLA-A","CD8A",3.07969650115136e-06,423.4,0.16678852709975,131,1.23134682648959,51,1.84683394850576,20,0.961999524298713,71,0,1844
"CD4 T cells","CD8 T cells","HLA-C","CD8B",3.90010812266751e-06,459.8,0.164393145798894,139,1.00032282679341,114,1.5635602527683,68,0.958642016452003,134,0,1844
"CD8 T cells","CD8 T cells","LCK","CD8A_CD8B",3.96801770777736e-06,468.2,0.357988281590036,7,1.46621823508988,30,2.17046440733061,4,0.943122372756944,456,0,1844
"CD8 T cells","CD8 T cells","HLA-B","CD8A",4.246378888261e-06,413,0.163287088685201,142,1.31976551047211,37,1.85215738318222,19,0.965690932012677,23,0,1844
"CD4 T cells","CD8 T cells","HLA-A","CD8B",4.36675482325199e-06,455.6,0.166351490678651,135,1.03835892715152,98,1.62429996458076,58,0.957729993377786,143,0,1844
"NK cells","CD8 T cells","HLA-C","CD8A",4.87395051669976e-06,429.6,0.161809861941931,147,1.16801598235796,63,1.79084510181503,28,0.96249115512467,66,0,1844
"CD8 T cells","CD8 T cells","HLA-E","CD8A",5.28231856598544e-06,439.4,0.169797949796859,119,1.21121022285828,53,1.7715036483,31,0.957556405579557,150,0,1844
"CD4 T cells","CD8 T cells","HLA-B","CD8B",5.28231856598544e-06,449.4,0.161386190490805,150,1.01749949623018,109,1.55939759024976,69,0.961652506200128,75,0,1844
"NK cells","CD8 T cells","HLA-B","CD8A",6.66179184200791e-06,421,0.159188843457985,159,1.23514387667532,50,1.81302402496352,24,0.965267344372174,28,0,1844
"CD4 T cells","CD8 T cells","LCK","CD8A_CD8B",6.84785206043151e-06,495.6,0.302289980908687,19,1.32690694419698,36,2.00276999749813,8,0.938412877811086,571,0,1844
"NK cells","CD8 T cells","HLA-E","CD8A",7.90822728229745e-06,451.2,0.161916585379005,146,1.13421800781866,67,1.76818780580841,33,0.956580017195568,166,0,1844
"CD4 T cells","CD8 T cells","HLA-A","CD8A",8.29434727486566e-06,444,0.155990515421673,168,1.09382420557664,76,1.68457509757152,47,0.960757041393008,85,0,1844
"CD4 T cells","CD8 T cells","HLA-C","CD8A",9.32127112391682e-06,449,0.15415414337643,173,1.05578810521852,91,1.62383538575905,59,0.961606370728386,78,0,1844
"CD4 T cells","CD8 T cells","HLA-E","CD8A",9.53755007195765e-06,458.2,0.159675382707399,158,1.11232393607027,71,1.70493950291801,44,0.956289630787673,174,0,1844
"CD4 T cells","B cells","LTB","CD40",1.01048305495106e-05,843.2,0.236726850299682,34,1.29171487093327,41,1.7597841667471,34,0.88687518314614,2263,0,1844
"CD4 T cells","CD8 T cells","HLA-B","CD8A",1.2172129622499e-05,442,0.151334472170328,185,1.0729647746553,86,1.61967272324052,60,0.964409093178792,35,0,1844
"CD8 T cells","CD8 T cells","HLA-E","CD8B",2.65073666821041e-05,454,0.181076022388485,95,1.15574494443316,65,1.71122851530925,41,0.954294218018531,225,0,1844
"B cells","DCs","CD24","SIGLEC10",3.70303029511305e-05,1507.2,0.416577298436202,4,2.03414166310904,6,0.832414514570115,536,0.772114706528737,5146,0,1844
"NK cells","CD8 T cells","HLA-E","CD8B",3.96463661085022e-05,466,0.172671173440153,111,1.07875272939354,84,1.70791267281765,42,0.953246449166246,249,0,1844
"NK cells","CD8 T cells","LCK","CD8A_CD8B",4.19236132448917e-05,563,0.225968094999249,39,1.13601242283172,66,1.7374319292545,38,0.929447994841032,828,0,1844
"DCs","CD8 T cells","HLA-A","CD8B",4.22359880401531e-05,543,0.14521526493983,222,0.785935718746928,253,1.24068752902084,183,0.954892285321182,213,0,1844
