"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Monocytes","Monocytes","S100A9","CD68",2.67934490673619e-05,440,0.186592272969829,138,2.21890994315318,7,2.81782276711587,8,0.961815419337878,170,0,1877
"Monocytes","Monocytes","S100A8","CD68",3.36234994441715e-05,446.6,0.183309211858078,152,2.18099495980785,15,2.76701733619872,9,0.961406134035996,180,0,1877
"DCs","Monocytes","S100A8","CD68",3.6690350987741e-05,448.2,0.181680874117457,161,2.16785170871037,18,3.01508898927049,1,0.961240257228878,184,0,1877
"DCs","Monocytes","S100A9","CD68",4.43502908335428e-05,452.8,0.178207805709259,171,2.15053625742391,19,2.88638757873353,4,0.960962137233894,193,0,1877
"Monocytes","Monocytes","S100A9","CD36",6.68171318554134e-05,456.4,0.176895100958573,178,2.25349100082022,3,2.76679589110237,10,0.960066930647497,214,0,1877
"Monocytes","DCs","S100A9","CD36",7.45611727761219e-05,459.8,0.174898902436969,186,2.24042956785013,5,2.75066455011608,11,0.959848814284861,220,0,1877
"Monocytes","Monocytes","S100A8","CD36",8.15097401265349e-05,462.6,0.173782660032842,189,2.21557601747488,8,2.71599046018522,14,0.959639690428769,225,0,1877
"Monocytes","Monocytes","S100A9","ITGB2",8.49004768375116e-05,573.6,0.0928571598367618,902,1.70604915601864,63,2.55338164526287,25,0.97535557954595,1,0,1877
"Monocytes","Monocytes","SERPINA1","LRP1",8.89822198697e-05,479,0.226029674848988,64,2.52242690056439,1,2.48308728542852,31,0.950495274435069,422,0,1877
"DCs","Monocytes","S100A8","CD36",9.20346408013035e-05,463.8,0.172238946756632,198,2.2024327663774,10,2.964062113257,2,0.959466541521383,232,0,1877
"Monocytes","DCs","S100A8","CD36",9.52194252999831e-05,467.2,0.171821584304017,200,2.2025145845048,9,2.69985911919893,16,0.959419339097559,234,0,1877
"DCs","DCs","S100A8","CD36",0.00010014967523163,467.4,0.170295291285028,207,2.18937133340732,13,2.94793077227071,3,0.959245285012374,237,0,1877
"DCs","Monocytes","S100A9","CD36",0.000105267683322883,470.4,0.168946373184715,216,2.18511731509094,14,2.83536070272003,5,0.95917623477984,240,0,1877
"Monocytes","Monocytes","S100A8","ITGB2",0.000111348532857535,579,0.0912233530045946,918,1.6681341726733,69,2.50257621434572,29,0.975087666718781,2,0,1877
"DCs","Monocytes","S100A12","TLR4",0.000116226745989385,666.2,0.221463324812261,70,1.99339291474817,30,2.22387660613292,53,0.920010564875325,1301,0,1877
"DCs","DCs","S100A9","CD36",0.00011986898903326,475,0.167039873238961,226,2.17205588212086,17,2.81922936173374,7,0.958953461391564,248,0,1877
"DCs","Monocytes","S100A8","ITGB2",0.000126403430884068,579.8,0.0904130149587447,935,1.65499092157582,72,2.7506478674175,12,0.974979062892359,3,0,1877
"DCs","Monocytes","S100A9","ITGB2",0.000142747712282111,588.6,0.0886846514891799,968,1.63767547028936,75,2.62194645688053,19,0.974796940737976,4,0,1877
"Monocytes","DCs","S100A9","ITGB2",0.000166634553941028,599.2,0.0868983368249817,1003,1.62894508946971,79,2.46360080526043,32,0.974545776883787,5,0,1877
"DCs","Monocytes","VCAN","TLR2",0.000179509714490894,638.8,0.219876774372145,76,2.11451838310484,23,2.01645460266528,81,0.923747460486335,1137,0,1877
"Monocytes","DCs","S100A8","ITGB2",0.000179509714490894,607.8,0.0853693745278556,1039,1.59103010612437,81,2.41279537434328,36,0.974269292825491,6,0,1877
"Monocytes","Monocytes","VCAN","TLR2",0.000222043253620769,638.8,0.220351795193716,73,2.11745438530172,22,1.96602707184986,87,0.923823430742094,1135,0,1877
"DCs","DCs","S100A8","ITGB2",0.000229721831128852,609.4,0.0846110374370578,1058,1.57788685502689,88,2.66086702741506,17,0.974157215900658,7,0,1877
"DCs","DCs","S100A9","ITGB2",0.000279501426392482,624.6,0.0829935863842981,1117,1.56057140374043,94,2.53216561687809,27,0.973969271407708,8,0,1877
"DCs","Monocytes","S100A12","CD36",0.000288433429324409,508.4,0.209693685740926,95,2.1914882069094,12,2.60758415793294,20,0.944708594701754,538,0,1877
"Monocytes","NK cells","S100A9","ITGB2",0.000288433429324409,636.2,0.0809699082799535,1174,1.55223431149176,95,2.53681817933045,26,0.973654503462345,9,0,1877
"DCs","NK cells","S100A8","ITGB2",0.000305176459006852,647.4,0.0788386543524819,1227,1.50117607704894,109,2.73408440148507,13,0.973252710522673,11,0,1877
"Monocytes","Monocytes","PSAP","LRP1",0.000312568558835652,497.8,0.160924297297396,255,2.2321316342911,6,2.41813271247454,35,0.95594935586752,316,0,1877
"Monocytes","DCs","SERPINA1","LRP1",0.000335927898306651,496.4,0.20838097210885,100,2.41764155765226,2,2.43124498646916,34,0.948547163093512,469,0,1877
"DCs","DCs","S100A12","CD36",0.000366758612062832,512.4,0.207327366814074,103,2.17842677393931,16,2.59145281694665,22,0.944411447535881,544,0,1877
"Monocytes","NK cells","S100A8","ITGB2",0.000377435565970699,646,0.0795452557321015,1209,1.51431932814642,104,2.4860127484133,30,0.973368602935237,10,0,1877
"Monocytes","Monocytes","CD14","TLR4",0.000422192514822706,719.2,0.231081824507027,60,2.19747304093728,11,1.87965938398393,108,0.912140046919032,1540,0,1877
"Monocytes","DCs","PSAP","LRP1",0.000489282200669065,522.6,0.148359110498075,320,2.12734629137897,21,2.36629041351518,41,0.954205532946755,354,0,1877
"Monocytes","DCs","S100A9","CD68",0.000494754564816714,517,0.142666282577923,355,1.9502860741494,34,2.63194238269112,18,0.956569103440333,301,0,1877
"CD8 T cells","CD8 T cells","HLA-B","CD8B",0.000540185249545574,539,0.163833363973177,242,1.13665440896309,363,1.60455037402616,177,0.968650204844828,36,0,1877
"DCs","NK cells","S100A9","ITGB2",0.000562981348152516,661,0.0773315499800123,1275,1.48386062576248,119,2.6053829909481,21,0.973058369841396,13,0,1877
"NK cells","CD8 T cells","HLA-C","CD8B",0.000570107845870434,534.6,0.168149389316133,222,1.13418493325725,368,1.75425829621727,131,0.966091420031613,75,0,1877
"Monocytes","DCs","CD14","TLR4",0.000577126140417275,770.4,0.202224235960875,107,2.08135373263011,24,1.81813448008631,120,0.906645891952821,1724,0,1877
"Monocytes","DCs","S100A8","CD68",0.000582414755191795,522.8,0.140156092220976,370,1.91237109080406,37,2.58113695177397,23,0.956106151251884,307,0,1877
"NK cells","CD8 T cells","HLA-A","CD8B",0.000588641611060001,532.2,0.172978855793363,195,1.13213973801912,371,1.77301439194658,127,0.965271649931068,91,0,1877
"Monocytes","Monocytes","GRN","TNFRSF1B",0.000594917736212552,547.6,0.139891695668458,372,1.82682453847298,51,2.11943336576697,67,0.953009887147833,371,0,1877
"DCs","DCs","S100A12","TLR4",0.000606113864865587,712,0.19380689826669,122,1.877273606441,46,2.16235170223529,60,0.914962693776834,1455,0,1877
"DCs","Monocytes","PSAP","LRP1",0.000688098949557157,545.2,0.138934612380692,386,2.03039111573797,26,2.13380924829628,64,0.952749988929647,373,0,1877
"DCs","DCs","S100A8","CD68",0.000695144678223136,525.6,0.138911084115665,387,1.89922783970658,40,2.82920860484574,6,0.955918539525656,318,0,1877
"CD8 T cells","CD8 T cells","HLA-B","CD8A",0.000709396506612642,564.8,0.152686609599678,295,1.1175660188396,389,1.50245780900086,232,0.969177684076733,31,0,1877
