"cluster_id","n_background","n_geneset_up","n_geneset_down","prop_geneset_up","prop_geneset_down","in_range_up","in_range_down","contrast","logFC_threshold","p_val_threshold","adjusted"
"B.cells",9055,1232,2295,0.136057426836002,0.253451131971287,FALSE,FALSE,"PLA-platelet.free",0.5,0.05,TRUE
"CD4.T.cells",8061,713,350,0.0884505644460985,0.043418930653765,TRUE,TRUE,"PLA-platelet.free",0.5,0.05,TRUE
"CD8.T.cells",8029,85,81,0.0105866234898493,0.0100884294432682,TRUE,TRUE,"PLA-platelet.free",0.5,0.05,TRUE
"Monocytes",8767,168,117,0.0191627694764458,0.0133455001710962,TRUE,TRUE,"PLA-platelet.free",0.5,0.05,TRUE
"NK.cells",8684,180,177,0.0207277752187932,0.02038231229848,TRUE,TRUE,"PLA-platelet.free",0.5,0.05,TRUE
"B.cells",9055,2295,1232,0.253451131971287,0.136057426836002,FALSE,FALSE,"platelet.free-PLA",0.5,0.05,TRUE
"CD4.T.cells",8061,350,713,0.043418930653765,0.0884505644460985,TRUE,TRUE,"platelet.free-PLA",0.5,0.05,TRUE
"CD8.T.cells",8029,81,85,0.0100884294432682,0.0105866234898493,TRUE,TRUE,"platelet.free-PLA",0.5,0.05,TRUE
"Monocytes",8767,117,168,0.0133455001710962,0.0191627694764458,TRUE,TRUE,"platelet.free-PLA",0.5,0.05,TRUE
"NK.cells",8684,177,180,0.02038231229848,0.0207277752187932,TRUE,TRUE,"platelet.free-PLA",0.5,0.05,TRUE
