"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"PLA-platelet.free","B.cells","B.cells","S100A9","CD36",5.62,4.82,5.22,2.81e-25,1.7e-22,2.7e-22,5.63e-20
"PLA-platelet.free","CD4.T.cells","B.cells","THBS1","ITGB3",5.05,5.37,5.21,4.69e-24,1.64e-21,1.22e-17,6.41e-16
"PLA-platelet.free","B.cells","B.cells","S100A8","CD36",5.58,4.82,5.2,6.43e-25,2.91e-22,2.7e-22,5.63e-20
"PLA-platelet.free","B.cells","B.cells","S100A12","CD36",5.54,4.82,5.18,4.25e-26,4.27e-23,2.7e-22,5.63e-20
"PLA-platelet.free","CD4.T.cells","B.cells","THBS1","ITGA2B",5.05,5.3,5.175,4.69e-24,1.64e-21,1.37e-18,8.5e-17
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","THBS1","ITGA2B",5.05,5.29,5.17,4.69e-24,1.64e-21,4.51e-28,9.74e-25
"PLA-platelet.free","B.cells","CD4.T.cells","S100A9","CD36",5.62,4.55,5.085,2.81e-25,1.7e-22,6.76e-22,1.56e-19
"PLA-platelet.free","CD4.T.cells","B.cells","THBS1","LRP1",5.05,5.12,5.085,4.69e-24,1.64e-21,1.83e-24,6.92e-22
"PLA-platelet.free","B.cells","CD4.T.cells","S100A8","CD36",5.58,4.55,5.065,6.43e-25,2.91e-22,6.76e-22,1.56e-19
"PLA-platelet.free","B.cells","B.cells","THBS1","ITGB3",4.76,5.37,5.065,6.14e-16,2.53e-14,1.22e-17,6.41e-16
"PLA-platelet.free","B.cells","CD4.T.cells","S100A12","CD36",5.54,4.55,5.045,4.25e-26,4.27e-23,6.76e-22,1.56e-19
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","THBS1","ITGB3",5.05,5.04,5.045,4.69e-24,1.64e-21,3.08e-24,1.24e-21
