"group","sender","receiver","ligand","receptor","id","prioritization_score","prioritization_rank"
"PLA","Monocytes","Monocytes","HP","ASGR2","HP_ASGR2_Monocytes_Monocytes",0.916465845834906,1
"PLA","CD4.T.cells","B.cells","TGFB1","APP","TGFB1_APP_CD4.T.cells_B.cells",0.91626772008234,2
"PLA","B.cells","CD4.T.cells","PF4","CXCR3","PF4_CXCR3_B.cells_CD4.T.cells",0.911186915396642,3
"PLA","Monocytes","Monocytes","HP","ASGR1","HP_ASGR1_Monocytes_Monocytes",0.907491863049304,4
"PLA","CD4.T.cells","CD4.T.cells","TGFB1","ITGB1","TGFB1_ITGB1_CD4.T.cells_CD4.T.cells",0.903400831533425,5
"PLA","B.cells","CD8.T.cells","PF4","CXCR3","PF4_CXCR3_B.cells_CD8.T.cells",0.901543783528762,6
"PLA","Monocytes","Monocytes","ANXA1","DYSF","ANXA1_DYSF_Monocytes_Monocytes",0.8971712396784,7
"PLA","Monocytes","Monocytes","HP","ITGAM","HP_ITGAM_Monocytes_Monocytes",0.896463889653373,8
"PLA","NK.cells","Monocytes","ANXA1","DYSF","ANXA1_DYSF_NK.cells_Monocytes",0.892167976836675,9
"PLA","Monocytes","Monocytes","S100A8","CD36","S100A8_CD36_Monocytes_Monocytes",0.891453668445728,10
"PLA","CD8.T.cells","B.cells","TGFB1","APP","TGFB1_APP_CD8.T.cells_B.cells",0.890349807597115,11
"PLA","Monocytes","NK.cells","HP","ITGB2","HP_ITGB2_Monocytes_NK.cells",0.889778913960987,12
"PLA","Monocytes","Monocytes","S100A9","CD36","S100A9_CD36_Monocytes_Monocytes",0.889525398387425,13
"PLA","Monocytes","Monocytes","HP","TLR4","HP_TLR4_Monocytes_Monocytes",0.888957043018005,14
"PLA","CD4.T.cells","CD4.T.cells","PF4","CXCR3","PF4_CXCR3_CD4.T.cells_CD4.T.cells",0.88839935857199,15
"PLA","CD8.T.cells","CD8.T.cells","CCL5","CXCR3","CCL5_CXCR3_CD8.T.cells_CD8.T.cells",0.886813065024798,16
