"group","sender","receiver","ligand","receptor","id","prioritization_score","prioritization_rank"
"platelet.free","B.cells","B.cells","LY86","CD180","LY86_CD180_B.cells_B.cells",0.959538053521464,1
"platelet.free","B.cells","B.cells","HLA.DMB","CD74","HLA.DMB_CD74_B.cells_B.cells",0.955012234571682,2
"platelet.free","CD4.T.cells","B.cells","CD40LG","CD40","CD40LG_CD40_CD4.T.cells_B.cells",0.948459381273357,3
"platelet.free","B.cells","B.cells","HLA.DMA","CD74","HLA.DMA_CD74_B.cells_B.cells",0.943328110042087,4
"platelet.free","B.cells","CD4.T.cells","IL7","IL7R","IL7_IL7R_B.cells_CD4.T.cells",0.938600151862015,5
"platelet.free","B.cells","B.cells","FCER2","CR2","FCER2_CR2_B.cells_B.cells",0.935000252300695,6
"platelet.free","CD4.T.cells","B.cells","IFITM1","CD81","IFITM1_CD81_CD4.T.cells_B.cells",0.927587203225826,7
"platelet.free","B.cells","NK.cells","CD79B","CD244","CD79B_CD244_B.cells_NK.cells",0.915298134278702,8
"platelet.free","CD8.T.cells","B.cells","IFITM1","CD81","IFITM1_CD81_CD8.T.cells_B.cells",0.909443644359895,9
"platelet.free","B.cells","CD8.T.cells","IL7","IL7R","IL7_IL7R_B.cells_CD8.T.cells",0.907842913026646,10
"platelet.free","B.cells","B.cells","HLA.DRA","CD19","HLA.DRA_CD19_B.cells_B.cells",0.892255886230933,11
"platelet.free","B.cells","B.cells","BTLA","CD79A","BTLA_CD79A_B.cells_B.cells",0.892116533618405,12
"platelet.free","NK.cells","B.cells","IFITM1","CD81","IFITM1_CD81_NK.cells_B.cells",0.89193506100886,13
"platelet.free","B.cells","B.cells","HLA.DRA","CD37","HLA.DRA_CD37_B.cells_B.cells",0.891424509079134,14
"platelet.free","B.cells","B.cells","NT5E","FCRL1","NT5E_FCRL1_B.cells_B.cells",0.888079691343197,15
"platelet.free","B.cells","B.cells","HLA.DRB1","CD19","HLA.DRB1_CD19_B.cells_B.cells",0.887642285349146,16
"platelet.free","B.cells","B.cells","HLA.DRB1","CD37","HLA.DRB1_CD37_B.cells_B.cells",0.886810908197346,17
"platelet.free","B.cells","B.cells","HMGB1","CXCR4","HMGB1_CXCR4_B.cells_B.cells",0.885892435580401,18
"platelet.free","B.cells","B.cells","HLA.DRA","CD82","HLA.DRA_CD82_B.cells_B.cells",0.885458155401512,19
"platelet.free","B.cells","B.cells","LTB","CD40","LTB_CD40_B.cells_B.cells",0.885175158642852,20
"platelet.free","B.cells","B.cells","HLA.DRA","CD53","HLA.DRA_CD53_B.cells_B.cells",0.884871300941418,21
"platelet.free","B.cells","B.cells","HLA.DRA","CR2","HLA.DRA_CR2_B.cells_B.cells",0.884724587326395,22
"platelet.free","B.cells","B.cells","IL7","IL2RG","IL7_IL2RG_B.cells_B.cells",0.882205916340399,23
"platelet.free","B.cells","NK.cells","CD22","PTPRC","CD22_PTPRC_B.cells_NK.cells",0.881076402526679,24
"platelet.free","B.cells","B.cells","HLA.DRB1","CD82","HLA.DRB1_CD82_B.cells_B.cells",0.880844554519725,25
"platelet.free","B.cells","B.cells","HLA.DRB1","CD53","HLA.DRB1_CD53_B.cells_B.cells",0.880257700059631,26
"platelet.free","B.cells","B.cells","HLA.DRB1","CR2","HLA.DRB1_CR2_B.cells_B.cells",0.880110986444608,27
"platelet.free","Monocytes","NK.cells","IL15","IL2RB","IL15_IL2RB_Monocytes_NK.cells",0.879719935237546,28
"platelet.free","B.cells","CD4.T.cells","BTLA","TNFRSF14","BTLA_TNFRSF14_B.cells_CD4.T.cells",0.879504484928229,29
"platelet.free","CD4.T.cells","B.cells","LTB","CD40","LTB_CD40_CD4.T.cells_B.cells",0.879453980837678,30
"platelet.free","CD4.T.cells","B.cells","MIF","CD74","MIF_CD74_CD4.T.cells_B.cells",0.878280462590678,31
"platelet.free","B.cells","Monocytes","HLA.DOA","CD4","HLA.DOA_CD4_B.cells_Monocytes",0.878167124217889,32
"platelet.free","B.cells","Monocytes","CD52","SIGLEC10","CD52_SIGLEC10_B.cells_Monocytes",0.876734902958426,33
"platelet.free","CD4.T.cells","B.cells","MIF","CXCR4","MIF_CXCR4_CD4.T.cells_B.cells",0.876617708287078,34
"platelet.free","B.cells","CD4.T.cells","IL16","KCNA3","IL16_KCNA3_B.cells_CD4.T.cells",0.87581265402783,35
"platelet.free","B.cells","Monocytes","IL16","CD4","IL16_CD4_B.cells_Monocytes",0.875097789479448,36
"platelet.free","B.cells","B.cells","HLA.DRA","CD81","HLA.DRA_CD81_B.cells_B.cells",0.874897522368131,37
"platelet.free","B.cells","B.cells","BTLA","TNFRSF14","BTLA_TNFRSF14_B.cells_B.cells",0.874595680095711,38
"platelet.free","B.cells","CD4.T.cells","HLA.DOA","CD4","HLA.DOA_CD4_B.cells_CD4.T.cells",0.873949237449976,39
"platelet.free","Monocytes","B.cells","HLA.DMA","CD74","HLA.DMA_CD74_Monocytes_B.cells",0.873239236725022,40
"platelet.free","B.cells","B.cells","TCTN1","TMEM216","TCTN1_TMEM216_B.cells_B.cells",0.872299572919115,41
"platelet.free","CD4.T.cells","Monocytes","TNFSF8","TNFRSF8","TNFSF8_TNFRSF8_CD4.T.cells_Monocytes",0.872143302924235,42
"platelet.free","B.cells","Monocytes","HLA.DRB5","CD4","HLA.DRB5_CD4_B.cells_Monocytes",0.871897170237116,43
"platelet.free","B.cells","Monocytes","HLA.DQB1","CD4","HLA.DQB1_CD4_B.cells_Monocytes",0.871247579138689,44
"platelet.free","B.cells","CD8.T.cells","IL7","IL2RG","IL7_IL2RG_B.cells_CD8.T.cells",0.871111888951217,45
"platelet.free","B.cells","B.cells","HLA.DRB1","CD81","HLA.DRB1_CD81_B.cells_B.cells",0.870283921486344,46
"platelet.free","Monocytes","B.cells","TNFSF13B","TNFRSF13C","TNFSF13B_TNFRSF13C_Monocytes_B.cells",0.868425710020912,47
"platelet.free","B.cells","CD4.T.cells","CD40","CD40LG","CD40_CD40LG_B.cells_CD4.T.cells",0.868184135880662,48
"platelet.free","B.cells","Monocytes","HLA.DMB","CD4","HLA.DMB_CD4_B.cells_Monocytes",0.867779568264273,49
"platelet.free","B.cells","CD8.T.cells","CD22","PTPRC","CD22_PTPRC_B.cells_CD8.T.cells",0.867439553802052,50
