"CCI","ER_CELLTYPES","LRI","NCELLS_EMITTER_platelet-free","NCELLS_EMITTER_PLA","NCELLS_RECEIVER_platelet-free","NCELLS_RECEIVER_PLA","CCI_SCORE_platelet-free","CCI_SCORE_PLA","P_VALUE_platelet-free","BH_P_VALUE_platelet-free","P_VALUE_PLA","BH_P_VALUE_PLA","LOGFC","P_VALUE_DE","BH_P_VALUE_DE","IS_CCI_DETECTED_platelet-free","IS_CCI_DETECTED_PLA","REGULATION","neg_log10_padj"
"B cells_B cells_ADAM10:NOTCH2","B cells_B cells","ADAM10:NOTCH2",20788,488,20788,488,0.73090135290033,0.948662945079963,0,0,0.725,1,0.260775064517694,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_B cells_ADAM15:ITGB3","B cells_B cells","ADAM15:ITGB3",20788,488,20788,488,0.0488025484183449,0.708883052569693,1,1,0,0,2.67590803273358,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_ADAM28:ITGA4","B cells_B cells","ADAM28:ITGA4",20788,488,20788,488,1.67850965136322,1.03009030647852,0,0,0,0,-0.488259812823459,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_APP:APLP2","B cells_B cells","APP:APLP2",20788,488,20788,488,0.58018593474745,1.64701024959373,0,0,0,0,1.04336832403079,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:CD74","B cells_B cells","APP:CD74",20788,488,20788,488,9.5311403691248,10.7229235089201,0,0,0,0,0.117819462361141,0.086,0.105694076038904,TRUE,TRUE,"FLAT",0.975949353427793
"B cells_B cells_APP:LRP1","B cells_B cells","APP:LRP1",20788,488,20788,488,0.131436276777432,1.30682635116529,1,1,0.001,0.00193216569363358,2.29683469725051,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:LRP10","B cells_B cells","APP:LRP10",20788,488,20788,488,0.589861356579424,0.934609625984716,0,0,0,0,0.460241409353216,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:NOTCH2","B cells_B cells","APP:NOTCH2",20788,488,20788,488,0.560296732650514,1.02699632607852,0,0,0,0,0.605927109463123,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:RPSA","B cells_B cells","APP:RPSA",20788,488,20788,488,2.84296098309123,3.4982989315337,0,0,0,0,0.20743072206422,0.002,0.00288381742738589,TRUE,TRUE,"FLAT",2.54003223798475
"B cells_B cells_BTLA:CD79A","B cells_B cells","BTLA:CD79A",20788,488,20788,488,4.46766871869371,1.8903770759209,0,0,0,0,-0.860090412893232,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_BTLA:TNFRSF14","B cells_B cells","BTLA:TNFRSF14",20788,488,20788,488,1.29132595381067,0.739584444315563,0,0,0,0,-0.557336373901275,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_CALR:ITGA2B","B cells_B cells","CALR:ITGA2B",20788,488,20788,488,0.270019843905462,2.3822120014291,1,1,0,0,2.17728929515061,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_CD24:SIGLEC10","B cells_B cells","CD24:SIGLEC10",20788,488,20788,488,0.93975876911407,0.589661972692758,0,0,0,0,-0.466073768652625,0,0,TRUE,FALSE,"DOWN",307.652655568589
"B cells_B cells_CD55:CR1","B cells_B cells","CD55:CR1",20788,488,20788,488,0.788982320744646,0.935067084688021,0,0,0.009,0.016796455424275,0.169874361617252,0.028,0.036435124508519,TRUE,TRUE,"FLAT",1.4384797420368
"B cells_B cells_CD72:SEMA4D","B cells_B cells","CD72:SEMA4D",20788,488,20788,488,0.759785225215289,0.86508710142715,0,0,0,0,0.129794402212964,0.153,0.180626804824189,FALSE,TRUE,"FLAT",0.743217800404456
"B cells_B cells_COPA:CD74","B cells_B cells","COPA:CD74",20788,488,20788,488,10.4461121671861,8.42634533366703,0,0,0,0,-0.214866720756968,0.002,0.00288381742738589,TRUE,TRUE,"FLAT",2.54003223798475
"B cells_B cells_ESAM:ESAM","B cells_B cells","ESAM:ESAM",20788,488,20788,488,0.0592494554865956,0.805276034253484,0.33,0.529554375432925,0,0,2.60942852846231,0,0,FALSE,TRUE,"UP",307.652655568589
