"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"sample4","Macrophages",148,19,129,0.128378378378378,0.0837495426166482,0.191810631433732,0.108061088817084,TRUE
"sample42","Macrophages",1290,154,1136,0.11937984496124,0.102806627794582,0.138213210219366,0.0354065824247843,TRUE
"sample4","Neutrophils",74,6,68,0.0810810810810811,0.0376898501938264,0.165819424435578,0.128129574241752,TRUE
"sample42","Neutrophils",612,38,574,0.0620915032679739,0.045568884792077,0.0840772403219849,0.0385083555299079,TRUE
"sample39","Macrophages",80,1,79,0.0125,0.00220997552045227,0.0674627007766866,0.0652527252562344,TRUE
"sample1","DCs",279,0,279,0,0,0.0135816681073244,0.0135816681073244,TRUE
"sample1","Macrophages",57,0,57,0,0,0.0631388348529789,0.0631388348529789,TRUE
"sample12","DCs",26,0,26,0,0,0.128728921859215,0.128728921859215,TRUE
"sample12","Macrophages",22,0,22,0,0,0.148654874608621,0.148654874608621,TRUE
"sample15","DCs",132,0,132,0,1.73472347597681e-18,0.0282789867986085,0.0282789867986085,TRUE
"sample15","Macrophages",56,0,56,0,0,0.0641939367187634,0.0641939367187634,TRUE
"sample17","DCs",65,0,65,0,0,0.0558015313228569,0.0558015313228569,TRUE
"sample2","DCs",31,0,31,0,0,0.110255395460436,0.110255395460436,TRUE
"sample27","Macrophages",36,0,36,0,0,0.0964186285944636,0.0964186285944636,TRUE
"sample27","Neutrophils",30,0,30,0,0,0.113513393173969,0.113513393173969,TRUE
"sample30","DCs",242,0,242,0,0,0.0156257566934465,0.0156257566934465,TRUE
"sample30","Macrophages",474,0,474,0,0,0.00803919113710809,0.00803919113710809,TRUE
"sample30","Neutrophils",388,0,388,0,0,0.00980360483613851,0.00980360483613851,TRUE
"sample32","DCs",36,0,36,0,0,0.0964186285944636,0.0964186285944636,TRUE
"sample33","Macrophages",33,0,33,0,0,0.104269997542452,0.104269997542452,TRUE
"sample34","Neutrophils",23,0,23,0,0,0.143116618450427,0.143116618450427,TRUE
"sample39","Neutrophils",52,0,52,0,0,0.0687922361238623,0.0687922361238623,TRUE
"sample4","B cells",33,0,33,0,0,0.104269997542452,0.104269997542452,TRUE
"sample4","DCs",212,0,212,0,0,0.017797594779441,0.017797594779441,TRUE
"sample4","NK cells",34,0,34,0,6.93889390390723e-18,0.101514554153324,0.101514554153324,TRUE
"sample41","DCs",37,0,37,0,0,0.0940578258372025,0.0940578258372025,TRUE
"sample41","Macrophages",352,0,352,0,0,0.0107954223024637,0.0107954223024637,TRUE
"sample41","Neutrophils",328,0,328,0,0,0.0115761871176254,0.0115761871176254,TRUE
"sample42","B cells",46,0,46,0,0,0.0770735630855803,0.0770735630855803,TRUE
"sample42","DCs",111,0,111,0,0,0.0334501046933923,0.0334501046933923,TRUE
"sample5","DCs",71,0,71,0,3.46944695195361e-18,0.0513279521968903,0.0513279521968903,TRUE
"sample5","Macrophages",36,0,36,0,0,0.0964186285944636,0.0964186285944636,TRUE
"sample6","DCs",75,0,75,0,0,0.0487238424828058,0.0487238424828058,TRUE
"sample6","Macrophages",22,0,22,0,0,0.148654874608621,0.148654874608621,TRUE
"sample7","DCs",109,0,109,0,0,0.0340429737513251,0.0340429737513251,TRUE
"sample7","Macrophages",39,0,39,0,0,0.0896668537075714,0.0896668537075714,TRUE
"sample8","DCs",85,0,85,0,0,0.0432394838140515,0.0432394838140515,TRUE
"sample8","Macrophages",104,0,104,0,0,0.0356213543724519,0.0356213543724519,TRUE
