"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"sample4","CD4 T cells",5,1,4,0.2,0.0362241086324301,0.624465370237475,0.588241261605044,FALSE
"sample42","CD4 T cells",20,1,19,0.05,0.00888144880079537,0.236131193446742,0.227249744645947,FALSE
"sample1","B cells",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"sample1","NK cells",5,0,5,0,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE
"sample1","Neutrophils",8,0,8,0,0,0.32440756488388,0.32440756488388,FALSE
"sample12","B cells",13,0,13,0,0,0.228095372354198,0.228095372354198,FALSE
"sample12","NK cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample12","Neutrophils",10,0,10,0,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE
"sample13","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample13","NK cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample13","CD4 T cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"sample13","Macrophages",7,0,7,0,0,0.354330435066687,0.354330435066687,FALSE
"sample13","Neutrophils",8,0,8,0,0,0.32440756488388,0.32440756488388,FALSE
"sample15","B cells",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"sample15","NK cells",9,0,9,0,0,0.299145048419544,0.299145048419544,FALSE
"sample15","CD4 T cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"sample15","Neutrophils",7,0,7,0,0,0.354330435066687,0.354330435066687,FALSE
"sample15","CD8 T cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample17","B cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"sample17","NK cells",9,0,9,0,0,0.299145048419544,0.299145048419544,FALSE
"sample17","Macrophages",11,0,11,0,0,0.258832966968032,0.258832966968032,FALSE
"sample17","Neutrophils",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"sample2","B cells",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"sample2","NK cells",5,0,5,0,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE
"sample2","Macrophages",12,0,12,0,0,0.242494006655241,0.242494006655241,FALSE
"sample2","Neutrophils",5,0,5,0,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE
"sample27","B cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample27","NK cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"sample28","B cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample28","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample28","NK cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample28","Macrophages",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"sample28","Neutrophils",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"sample29","DCs",12,0,12,0,0,0.242494006655241,0.242494006655241,FALSE
"sample29","NK cells",5,0,5,0,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE
"sample29","Macrophages",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"sample29","Neutrophils",8,0,8,0,0,0.32440756488388,0.32440756488388,FALSE
"sample30","NK cells",10,0,10,0,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE
"sample30","CD4 T cells",9,0,9,0,0,0.299145048419544,0.299145048419544,FALSE
"sample32","NK cells",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"sample32","CD4 T cells",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"sample32","Macrophages",7,0,7,0,0,0.354330435066687,0.354330435066687,FALSE
"sample32","Neutrophils",10,0,10,0,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE
"sample33","B cells",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"sample33","DCs",6,0,6,0,0,0.390334287902165,0.390334287902165,FALSE
