"sample_id","total_celltypes","usable_celltypes","retained_cells","retained_PLA","mean_freq_PLA_usable"
"sample42",6,4,2059,192,0.0453678370573035
"sample4",7,5,501,25,0.0418918918918919
"sample39",4,2,132,1,0.00625
"sample1",5,2,336,0,0
"sample12",5,2,48,0,0
"sample13",5,0,0,0,NA
"sample15",7,2,188,0,0
"sample17",5,1,65,0,0
"sample2",5,1,31,0,0
"sample27",5,2,66,0,0
"sample28",5,0,0,0,NA
"sample29",4,0,0,0,NA
"sample30",6,3,1104,0,0
"sample32",5,1,36,0,0
"sample33",4,1,33,0,0
"sample34",6,1,23,0,0
"sample41",6,3,717,0,0
"sample5",6,2,107,0,0
"sample6",5,2,97,0,0
"sample7",5,2,148,0,0
"sample8",6,2,189,0,0
"sample9",2,0,0,0,NA
