"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"sample42","CD41",189,1848,2.40936299835596,0.784539054888844,1.62482394346711,2.40936299835596,1.93974589929385,0.114718614718615
"sample4","CD41",18,452,3.16900447582004,0.467311444299259,2.70169303152078,1.52042958644112,2.47390782467059,0.00663716814159292
"sample39","CD41",1,131,2.72764098453405,0,2.72764098453405,0.784539054888844,2.72764098453405,0
"sample1","CD41",0,331,NA,0,NA,0.467311444299259,NA,NA
"sample12","CD41",0,46,NA,0,NA,0.467311444299259,NA,NA
"sample15","CD41",0,183,NA,0,NA,0.467311444299259,NA,NA
"sample17","CD41",0,65,NA,0,NA,0.467311444299259,NA,NA
"sample2","CD41",0,31,NA,0,NA,0.467311444299259,NA,NA
"sample27","CD41",0,51,NA,0,NA,0.467311444299259,NA,NA
"sample30","CD41",0,1107,NA,0,NA,0.467311444299259,NA,NA
"sample32","CD41",0,36,NA,0,NA,0.467311444299259,NA,NA
"sample34","CD41",0,23,NA,0,NA,0.467311444299259,NA,NA
"sample41","CD41",0,711,NA,0,NA,0.784539054888844,NA,NA
"sample5","CD41",0,94,NA,0,NA,0.467311444299259,NA,NA
"sample6","CD41",0,96,NA,0,NA,0.467311444299259,NA,NA
"sample7","CD41",0,140,NA,0,NA,0.467311444299259,NA,NA
"sample8","CD41",0,181,NA,0,NA,0.467311444299259,NA,NA
"sample39","CD42b",1,131,0.585862594979584,0.585862594979584,0,1.2207178241163,0.585862594979584,0.603053435114504
"sample4","CD42b",18,452,0,0,0,0.952846361340156,0,1
"sample42","CD42b",189,1848,0,0,0,0.824402043113906,0,1
"sample1","CD42b",0,331,NA,0,NA,0.585862594979584,NA,NA
"sample12","CD42b",0,46,NA,0,NA,0.585862594979584,NA,NA
"sample15","CD42b",0,183,NA,0,NA,0.952846361340156,NA,NA
"sample17","CD42b",0,65,NA,0,NA,0.585862594979584,NA,NA
"sample2","CD42b",0,31,NA,0,NA,0,NA,NA
"sample27","CD42b",0,51,NA,0,NA,0.585862594979584,NA,NA
"sample30","CD42b",0,1107,NA,0,NA,0.952846361340156,NA,NA
"sample32","CD42b",0,36,NA,0.292931297489792,NA,1.01981422703419,NA,NA
"sample34","CD42b",0,23,NA,0,NA,0.585862594979584,NA,NA
"sample41","CD42b",0,711,NA,0,NA,0.952846361340156,NA,NA
"sample5","CD42b",0,94,NA,0,NA,0.585862594979584,NA,NA
"sample6","CD42b",0,96,NA,0,NA,0.952846361340156,NA,NA
