"group_id","n_markers_tested","n_markers_pass","mean_median_difference","max_pf_overlap","sample_adt_status"
"sample1",5,0,NA,-Inf,"ADT_suspicious"
"sample12",5,0,NA,-Inf,"ADT_suspicious"
"sample15",5,0,NA,-Inf,"ADT_suspicious"
"sample17",5,0,NA,-Inf,"ADT_suspicious"
"sample2",5,0,NA,-Inf,"ADT_suspicious"
"sample27",5,0,NA,-Inf,"ADT_suspicious"
"sample30",5,0,NA,-Inf,"ADT_suspicious"
"sample32",5,0,NA,-Inf,"ADT_suspicious"
"sample34",5,0,NA,-Inf,"ADT_suspicious"
"sample39",5,1,0.657020683848343,1,"ADT_ok"
"sample4",5,1,0.894957917124861,1,"ADT_ok"
"sample41",5,0,NA,-Inf,"ADT_suspicious"
"sample42",5,0,0.489976890654879,1,"ADT_suspicious"
"sample5",5,0,NA,-Inf,"ADT_suspicious"
"sample6",5,0,NA,-Inf,"ADT_suspicious"
"sample7",5,0,NA,-Inf,"ADT_suspicious"
"sample8",5,0,NA,-Inf,"ADT_suspicious"
