"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample"
"759B","Monocytes",35,33,2,0.942857142857143,3855,2750,2.47563051214606,0.813929425798351,0.984186838142891,0.170257412344541,FALSE,FALSE,FALSE
"759B","Neutrophils",47,41,6,0.872340425531915,3673,3150,3.02123026673925,0.748260592072075,0.940153958018566,0.191893365946491,FALSE,FALSE,FALSE
"778C","Monocytes",208,179,29,0.860576923076923,4395.5,1148,4.07253696861591,0.806937329098364,0.901139365780151,0.0942020366817873,TRUE,TRUE,TRUE
"637C","Monocytes",6,5,1,0.833333333333333,3468.5,3795,3.64275347671194,0.43649717781353,0.969946630251693,0.533449452438163,FALSE,FALSE,FALSE
"768B","Neutrophils",9,4,5,0.444444444444444,3180,1378,3.59801488833747,0.188778521097665,0.733348706504507,0.544570185406842,FALSE,FALSE,FALSE
"637C","Neutrophils",15,6,9,0.4,4247,1994,2.86617492096944,0.198244961413416,0.642531698793754,0.444286737380338,FALSE,FALSE,FALSE
"778C","Neutrophils",25,9,16,0.36,2857,1214,4.20852565843063,0.202478807744582,0.554815022518351,0.352336214773769,FALSE,FALSE,FALSE
"768B","Monocytes",189,65,124,0.343915343915344,4397,958,4.47407407407407,0.279909510915737,0.414139681821087,0.13423017090535,TRUE,TRUE,TRUE
"778C","NK cells",9,3,6,0.333333333333333,1456,957,5.18407212622089,0.120583818386911,0.645797864419604,0.525214046032693,FALSE,FALSE,FALSE
"D564","Neutrophils",12,3,9,0.25,4101.5,3028.5,3.97786090649436,0.0889416683940548,0.532305334933566,0.443363666539511,FALSE,FALSE,FALSE
"759B","NK cells",168,36,132,0.214285714285714,3290,1139.5,4.23295980840112,0.158991399031786,0.282354125739568,0.123362726707782,TRUE,TRUE,TRUE
"759B","CD8 T cells",655,140,515,0.213740458015267,6064,1000,4.66498970958152,0.184062208633949,0.246756852644863,0.0626946440109141,TRUE,TRUE,TRUE
"D520","Neutrophils",5,1,4,0.2,2866,1035,2.07732256203116,0.0362241086324301,0.624465370237475,0.588241261605044,FALSE,FALSE,FALSE
"759B","B cells",3510,599,2911,0.170655270655271,3324.5,1338,4.67583159787453,0.158571142791204,0.183459501705789,0.0248883589145854,TRUE,TRUE,TRUE
"778C","CD4 T cells",78,12,66,0.153846153846154,4260.5,379.5,3.57402442375773,0.0902550490838711,0.249932665332263,0.159677616248392,FALSE,TRUE,FALSE
"759B","CD4 T cells",2153,320,1833,0.148629818857408,5627,1002,3.81811204911742,0.134230155146429,0.164281103614671,0.0300509484682421,TRUE,TRUE,TRUE
"694B","NK cells",55,7,48,0.127272727272727,3275,958,3.60678925035361,0.0630421042736464,0.240170276559091,0.177128172285444,FALSE,TRUE,FALSE
"637C","B cells",16,2,14,0.125,3784,1012,3.06800970217462,0.0349774877432405,0.360228272657587,0.325250784914346,FALSE,FALSE,FALSE
"D512","Neutrophils",17,2,15,0.117647058823529,4205,1403,2.73483947681332,0.0328797737637927,0.343363505948859,0.310483732185066,FALSE,FALSE,FALSE
"D570","Neutrophils",18,2,16,0.111111111111111,4055.5,1219.5,3.47631208858699,0.0310195226456124,0.327997651301788,0.296978128656176,FALSE,FALSE,FALSE
