"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"778C","Monocytes",208,179,29,0.860576923076923,0.806937329098364,0.901139365780151,0.0942020366817873,TRUE
"768B","Monocytes",189,65,124,0.343915343915344,0.279909510915737,0.414139681821087,0.13423017090535,TRUE
"759B","NK cells",168,36,132,0.214285714285714,0.158991399031786,0.282354125739568,0.123362726707782,TRUE
"759B","CD8 T cells",655,140,515,0.213740458015267,0.184062208633949,0.246756852644863,0.0626946440109141,TRUE
"759B","B cells",3510,599,2911,0.170655270655271,0.158571142791204,0.183459501705789,0.0248883589145854,TRUE
"759B","CD4 T cells",2153,320,1833,0.148629818857408,0.134230155146429,0.164281103614671,0.0300509484682421,TRUE
"637C","CD8 T cells",158,13,145,0.0822784810126582,0.04871271508395,0.135674271032851,0.0869615559489009,TRUE
"D534","Monocytes",150,12,138,0.08,0.0463536415186529,0.134621363750531,0.0882677222318785,TRUE
"D529","Monocytes",969,73,896,0.0753353973168215,0.0603425903784822,0.0936819502720943,0.0333393598936121,TRUE
"637C","CD4 T cells",75,5,70,0.0666666666666667,0.0288100628994937,0.146750600585605,0.117940537686111,TRUE
"637C","NK cells",146,9,137,0.0616438356164384,0.032766722238975,0.112997066985945,0.0802303447469696,TRUE
"778C","B cells",432,22,410,0.0509259259259259,0.0338682211119391,0.0758998100206296,0.0420315889086905,TRUE
"768B","NK cells",42,2,40,0.0476190476190476,0.0131575249089056,0.157898523969588,0.144740999060683,TRUE
"694B","B cells",113,5,108,0.0442477876106195,0.0190458686041993,0.0994177226621109,0.0803718540579117,TRUE
"D528","Monocytes",824,32,792,0.0388349514563107,0.0276411882267583,0.054308632113646,0.0266674438868877,TRUE
"D564","NK cells",173,6,167,0.0346820809248555,0.0159902357034384,0.0735897696094353,0.0575995339059969,TRUE
"D528","Neutrophils",59,2,57,0.0338983050847458,0.00934590909166131,0.115435707501107,0.106089798409446,TRUE
"768B","CD4 T cells",260,8,252,0.0307692307692308,0.0156720883320142,0.0595301141928676,0.0438580258608534,TRUE
"D523","NK cells",33,1,32,0.0303030303030303,0.00536941053687184,0.153187253821189,0.147817843284317,TRUE
"D529","Neutrophils",34,1,33,0.0294117647058824,0.00521090627626894,0.149155732926859,0.14394482665059,TRUE
"D564","Monocytes",1378,35,1343,0.0253991291727141,0.0183187481874327,0.0351182494864631,0.0167995012990304,TRUE
"D543","Monocytes",2083,51,2032,0.0244839174267883,0.0186709952586685,0.0320475000890839,0.0133765048304154,TRUE
"D496","Monocytes",219,5,214,0.0228310502283105,0.0097905706156986,0.0523229108430251,0.0425323402273265,TRUE
"D512","Monocytes",2085,42,2043,0.0201438848920863,0.0149371966882543,0.0271155203572448,0.0121783236689905,TRUE
"768B","CD8 T cells",113,2,111,0.0176991150442478,0.0048672318204874,0.0622447239856079,0.0573774921651205,TRUE
"D523","Monocytes",518,9,509,0.0173745173745174,0.00916719314026179,0.0326873940174038,0.0235202008771421,TRUE
"D570","Monocytes",2181,34,2147,0.0155891792755617,0.0111770933940861,0.0217046786588261,0.01052758526474,TRUE
"694B","CD8 T cells",74,1,73,0.0135135135135135,0.00238946340345682,0.0726535651984323,0.0702641017949755,TRUE
"D520","NK cells",85,1,84,0.0117647058823529,0.0020797871346641,0.0636717088249391,0.061591921690275,TRUE
"D543","B cells",94,1,93,0.0106382978723404,0.00188039574808794,0.0578229129627856,0.0559425172146977,TRUE
"D520","Monocytes",476,5,471,0.0105042016806723,0.00449488031537738,0.0243510198590516,0.0198561395436742,TRUE
"D534","NK cells",289,3,286,0.0103806228373702,0.00353650880210831,0.0300702723562932,0.0265337635541849,TRUE
"D512","NK cells",671,6,665,0.00894187779433681,0.00410440285870938,0.0193699385790226,0.0152655357203132,TRUE
"D570","CD8 T cells",234,2,232,0.00854700854700855,0.0023470358770829,0.0306222322209811,0.0282751963438982,TRUE
"D529","NK cells",283,2,281,0.00706713780918728,0.00194020837187945,0.0253970491254611,0.0234568407535817,TRUE
"D512","B cells",142,1,141,0.00704225352112676,0.00124421422654778,0.0388092717158546,0.0375650574893068,TRUE
"D533","Monocytes",651,4,647,0.00614439324116743,0.00239195249205508,0.0156909875252423,0.0132990350331872,TRUE
"D543","NK cells",239,1,238,0.00418410041841004,0.000738978690596283,0.0233156405208921,0.0225766618302958,TRUE
"D512","CD4 T cells",961,4,957,0.00416233090530697,0.00161980382862138,0.0106531542956778,0.00903335046705644,TRUE
"768B","B cells",2117,6,2111,0.00283419933868682,0.00129956639361807,0.0061698551205685,0.00487028872695042,TRUE
"D529","CD4 T cells",1419,4,1415,0.00281888653981677,0.00109673922938687,0.00722566292391332,0.00612892369452644,TRUE
"D512","CD8 T cells",720,2,718,0.00277777777777778,0.000762097671329638,0.0100710187868927,0.00930892111556306,TRUE
"D543","CD4 T cells",386,1,385,0.00259067357512953,0.000457463976324928,0.0145267268749126,0.0140692628985876,TRUE
"D528","CD4 T cells",1700,2,1698,0.00117647058823529,0.000322689978882114,0.00427953329729145,0.00395684331840934,TRUE
"D533","NK cells",884,1,883,0.00113122171945701,0.000199716328203598,0.00637967773214276,0.00617996140393917,TRUE
"D534","CD4 T cells",3165,2,3163,0.000631911532385466,0.000173310042567823,0.00230124064814814,0.00212793060558032,TRUE
"621B","CD4 T cells",33,0,33,0,0,0.104269997542452,0.104269997542452,TRUE
