"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"759B","Monocytes",35,33,2,0.942857142857143,0.813929425798351,0.984186838142891,0.170257412344541,FALSE
"759B","Neutrophils",47,41,6,0.872340425531915,0.748260592072075,0.940153958018566,0.191893365946491,FALSE
"637C","Monocytes",6,5,1,0.833333333333333,0.43649717781353,0.969946630251693,0.533449452438163,FALSE
"768B","Neutrophils",9,4,5,0.444444444444444,0.188778521097665,0.733348706504507,0.544570185406842,FALSE
"637C","Neutrophils",15,6,9,0.4,0.198244961413416,0.642531698793754,0.444286737380338,FALSE
"778C","Neutrophils",25,9,16,0.36,0.202478807744582,0.554815022518351,0.352336214773769,FALSE
"778C","NK cells",9,3,6,0.333333333333333,0.120583818386911,0.645797864419604,0.525214046032693,FALSE
"D564","Neutrophils",12,3,9,0.25,0.0889416683940548,0.532305334933566,0.443363666539511,FALSE
"D520","Neutrophils",5,1,4,0.2,0.0362241086324301,0.624465370237475,0.588241261605044,FALSE
"778C","CD4 T cells",78,12,66,0.153846153846154,0.0902550490838711,0.249932665332263,0.159677616248392,TRUE
"694B","NK cells",55,7,48,0.127272727272727,0.0630421042736464,0.240170276559091,0.177128172285444,TRUE
"637C","B cells",16,2,14,0.125,0.0349774877432405,0.360228272657587,0.325250784914346,FALSE
"D512","Neutrophils",17,2,15,0.117647058823529,0.0328797737637927,0.343363505948859,0.310483732185066,FALSE
"D570","Neutrophils",18,2,16,0.111111111111111,0.0310195226456124,0.327997651301788,0.296978128656176,FALSE
"694B","Monocytes",38,4,34,0.105263157894737,0.0417025734755353,0.241305217228873,0.199602643753338,TRUE
"694B","Neutrophils",11,1,10,0.0909090909090909,0.0162321728858848,0.377358436451596,0.361126263565711,FALSE
"D543","Neutrophils",16,1,15,0.0625,0.0111193447646425,0.283287375702989,0.272168030938347,FALSE
"621B","CD8 T cells",21,1,20,0.0476190476190476,0.00845598780982637,0.226693600741226,0.218237612931399,TRUE
"694B","CD4 T cells",25,1,24,0.04,0.00709623350198725,0.195440637361937,0.18834440385995,TRUE
"621B","B cells",11,0,11,0,0,0.258832966968032,0.258832966968032,FALSE
"637C","DCs",5,0,5,0,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE
"759B","DCs",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"768B","DCs",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"778C","CD8 T cells",19,0,19,0,0,0.168179224052616,0.168179224052616,FALSE
"778C","DCs",15,0,15,0,0,0.203883301035849,0.203883301035849,FALSE
"D496","B cells",17,0,17,0,1.38777878078145e-17,0.184318135008852,0.184318135008852,FALSE
"D496","Neutrophils",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"D503","B cells",18,0,18,0,0,0.175879223646658,0.175879223646658,FALSE
"D503","Monocytes",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"D503","Neutrophils",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"D512","DCs",8,0,8,0,0,0.32440756488388,0.32440756488388,FALSE
"D520","DCs",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"D523","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"D529","DCs",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"D533","B cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"D533","DCs",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"D533","Neutrophils",16,0,16,0,0,0.193607680534436,0.193607680534436,FALSE
"D534","B cells",17,0,17,0,1.38777878078145e-17,0.184318135008852,0.184318135008852,FALSE
"D534","DCs",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"D534","Neutrophils",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"D543","DCs",7,0,7,0,0,0.354330435066687,0.354330435066687,FALSE
"D564","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
