"sample_id","total_celltypes","usable_celltypes","retained_cells","retained_PLA","mean_freq_PLA_usable"
"759B",7,4,6486,1095,0.186827815453415
"778C",7,2,640,201,0.455751424501425
"768B",7,5,2721,83,0.0885673873373114
"D529",7,6,3310,80,0.0191055310619513
"D512",7,5,4579,55,0.00861362497812693
"D543",7,5,2998,54,0.00837939785853366
"D564",7,5,2165,41,0.0120162420195139
"D528",7,7,3952,36,0.0105585324470417
"D570",6,5,2973,36,0.00482723756451404
"637C",7,3,379,27,0.0701963277652544
"D534",7,4,5383,17,0.0227531335924389
"D523",7,6,1688,10,0.00794625794625795
"694B",7,3,217,6,0.0192537670413777
"D520",7,5,2982,6,0.00445378151260504
"D496",6,4,1581,5,0.00570776255707763
"D533",7,4,1922,5,0.00181890374015611
"621B",3,1,33,0,0
"D503",6,3,4299,0,0
