"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"D543","CD41",54,2944,2.22259767591411,0.632294028836833,1.59030364707728,1.5731194156085,2.09530150562953,0.00373641304347826
"D564","CD41",41,2124,2.28434252089096,0.632294028836833,1.65204849205412,1.5731194156085,2.1221845063395,0.00329566854990584
"D523","CD41",10,1678,2.22209035221691,0.46244295943873,1.75964739277818,1.30519940444723,2.19023412847789,0.00297973778307509
"D533","CD41",5,1917,2.04916379439881,0.257718313445335,1.79144548095348,0.90416606857146,2.01055143100478,0.000521648408972353
"D512","CD41",55,4524,2.28434252089096,0.46244295943873,1.82189956145223,1.44308032905451,2.08634050539288,0.000442086648983201
"D570","CD41",36,2937,2.29909213150569,0.46244295943873,1.83664917206696,1.44308032905451,2.1221845063395,0.00170241743275451
"694B","CD41",6,211,2.96387179607326,1.01662305513057,1.9472487409427,2.08634050539288,2.87138209080535,0
"D534","CD41",17,5366,2.34249563624654,0.257718313445335,2.08477732280121,0.77744103399329,2.19023412847789,0.000186358553857622
"D520","CD41",6,2976,2.35657928686624,0.257718313445335,2.09886097342091,0.90416606857146,2.1391969118741,0.000336021505376344
"D529","CD41",80,3230,2.37035130392861,0.257718313445335,2.11263299048328,1.68817775610377,2.15678804964056,0.00526315789473684
"768B","CD41",83,2638,2.44954487704401,0.257718313445335,2.19182656359868,1.51021215517041,2.19023412847789,0.00985595147839272
"D528","CD41",36,3916,2.46207634052021,0.257718313445335,2.20435802707488,1.11770221267165,2.19023412847789,0.00178753830439224
"D496","CD41",5,1576,2.28434252089096,0,2.28434252089096,1.20949577769923,2.25394657595593,0
"778C","CD41",201,439,2.89317381642943,0.46244295943873,2.4307308569907,2.19347048322151,2.56901379085454,0.020501138952164
"759B","CD41",1095,5391,3.61520157523517,1.11770221267165,2.49749936256352,2.25394657595593,2.95628458798568,0
"637C","CD41",27,352,3.25762770240045,0.46244295943873,2.79518474296172,1.46201721912972,2.78887823473289,0
"621B","CD41",0,33,NA,0,NA,0.82645730237076,NA,NA
"D503","CD41",0,4299,NA,0,NA,0.257718313445335,NA,NA
