"lineage","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_above_pla_q25"
"B cells","CD41",634,6694,3.69864542305212,0.632294028836833,3.06635139421529,0
"B cells","CD42b",634,6694,0.462036467625054,0,0.462036467625054,1
"B cells","CD62P",634,6694,1.4970316602116,0.402451583333735,1.09458007687787,0.133701822527637
"CD4 T cells","CD41",346,17630,3.26887620511727,0.257718313445335,3.01115789167193,0
"CD4 T cells","CD42b",346,17630,0.462036467625054,0,0.462036467625054,1
"CD4 T cells","CD62P",346,17630,1.09257613033121,0,1.09257613033121,0.158650028360749
"CD8 T cells","CD41",160,6127,3.30188189937725,0.257718313445335,3.04416358593192,0
"CD8 T cells","CD42b",160,6127,0,0,0,1
"CD8 T cells","CD62P",160,6127,1.09257613033121,0,1.09257613033121,0.195201566835319
"DCs","CD41",0,106,NA,0.77744103399329,NA,NA
"DCs","CD42b",0,106,NA,0.776847671010697,NA,NA
"DCs","CD62P",0,106,NA,0.688623481043053,NA,NA
"NK cells","CD41",68,4494,2.42383761629923,0.257718313445335,2.16611930285389,0.00979083222073876
"NK cells","CD42b",68,4494,0.462036467625054,0,0.462036467625054,1
"NK cells","CD62P",68,4494,1.09257613033121,0,1.09257613033121,0.172229639519359
"Monocytes","CD41",546,11385,2.44954487704401,0.77744103399329,1.67210384305072,0.00324989020641195
"Monocytes","CD42b",546,11385,0.776847671010697,0.462036467625054,0.314811203385643,0.699956082564778
"Monocytes","CD62P",546,11385,1.69733498346506,0.688623481043053,1.00871150242201,0.131137461572244
"Neutrophils","CD41",3,115,2.8430812584119,0.77744103399329,2.06564022441861,0
"Neutrophils","CD42b",3,115,0.776847671010697,0.462036467625054,0.314811203385643,0.434782608695652
"Neutrophils","CD62P",3,115,2.38965508276679,0.688623481043053,1.70103160172373,0.0347826086956522
