"group_id","n_markers_total","n_markers_tested","n_markers_pass","mean_median_difference","max_pf_overlap","sample_adt_status"
"621B",3,0,0,NA,NA,"ADT_not_testable"
"637C",3,3,1,1.29592029109764,1,"ADT_suspicious"
"694B",3,3,1,0.92348939753044,0.450236966824645,"ADT_suspicious"
"759B",3,3,1,1.31219512051253,1,"ADT_suspicious"
"768B",3,3,2,1.33455647573198,0.581501137225171,"ADT_ok"
"778C",3,3,2,1.60405861052054,0.492027334851936,"ADT_ok"
"D496",3,3,2,1.5869800087738,1,"ADT_ok"
"D503",3,0,0,NA,NA,"ADT_not_testable"
"D512",3,3,1,0.837341369483234,0.502652519893899,"ADT_suspicious"
"D520",3,3,3,1.18773097329785,0.0917338709677419,"ADT_ok"
"D523",3,3,1,0.921527714387099,0.311680572109654,"ADT_suspicious"
"D528",3,3,2,1.30030873606693,0.203268641470889,"ADT_ok"
"D529",3,3,2,1.45038791086619,0.454179566563467,"ADT_ok"
"D533",3,3,1,0.692539126220933,1,"ADT_suspicious"
"D534",3,3,2,1.25969654695654,0.203503540812523,"ADT_ok"
"D543",3,3,1,0.960508859365194,0.560122282608696,"ADT_suspicious"
"D564",3,3,1,0.965352960743024,0.782485875706215,"ADT_suspicious"
"D570",3,3,1,0.744646415017704,1,"ADT_suspicious"
