"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample"
"DBO-01-2","Neutrophils",1,1,0,1,1547,2186,0,0.206549314377237,1,0.793450685622763,FALSE,FALSE,FALSE
"DBO-07","CD4 T cells",67,67,0,1,651,3572,0.322061191626409,0.945773860608698,1,0.0542261393913017,TRUE,FALSE,FALSE
"DBO-07","NK cells",1,1,0,1,626,6436,0.319488817891374,0.206549314377237,1,0.793450685622763,FALSE,FALSE,FALSE
"DBO-09","CD8 T cells",20,20,0,1,951.5,2004.5,0.811423576491798,0.838874841947181,1,0.161125158052819,FALSE,FALSE,FALSE
"DBO-18","Neutrophils",2,2,0,1,567,7726,0,0.342380227506653,1,0.657619772493347,FALSE,FALSE,FALSE
"DBO-09","CD4 T cells",134,128,6,0.955223880597015,853,2017,0.792865000785793,0.905755277264465,0.979319511146611,0.0735642338821461,TRUE,FALSE,FALSE
"DBO-09","B cells",18,15,3,0.833333333333333,758,2536,0.433913052184709,0.607779618960843,0.941634231941385,0.333854612980543,FALSE,FALSE,FALSE
"DBO-08","CD4 T cells",61,49,12,0.80327868852459,1034,2665,0.463269358041032,0.686900594244925,0.883721977685728,0.196821383440804,FALSE,FALSE,FALSE
"DBO-07","B cells",10,8,2,0.8,735,6905.5,0.423521294039969,0.490162471536642,0.943317848545625,0.453155377008983,FALSE,FALSE,FALSE
"DBO-09","NK cells",9,7,2,0.777777777777778,874,2636,0.897959183673469,0.452588969106989,0.936774892882153,0.484185923775164,FALSE,FALSE,FALSE
"DBO-09","Monocytes",153,109,44,0.712418300653595,733,1661,0.291757840991977,0.636186899327408,0.778244338999124,0.142057439671717,TRUE,TRUE,TRUE
"DBO-07","CD8 T cells",3,2,1,0.666666666666667,608,2654,0.164473684210526,0.207659600802048,0.938508055279604,0.730848454477556,FALSE,FALSE,FALSE
"DBO-07","Monocytes",22,14,8,0.636363636363636,821.5,2758,0.106499292273074,0.42951708090131,0.802667953296339,0.373150872395029,FALSE,FALSE,FALSE
"DBO-08","Neutrophils",5,3,2,0.6,750,1985,0.266666666666667,0.230724281276013,0.882379225767352,0.651654944491339,FALSE,FALSE,FALSE
"DBO-09","Neutrophils",5,3,2,0.6,893,2734,0.120918984280532,0.230724281276013,0.882379225767352,0.651654944491339,FALSE,FALSE,FALSE
"DBO-18","Monocytes",126,75,51,0.595238095238095,685,3352.5,0,0.507945383982466,0.67689542278283,0.168950038800364,FALSE,TRUE,FALSE
"DBO-01-4","Neutrophils",7,4,3,0.571428571428571,1166,1650,0,0.250458364527657,0.84178014474853,0.591321780220873,FALSE,FALSE,FALSE
"DBO-01-3","Neutrophils",4,2,2,0.5,762.5,2143.5,0.129366106080207,0.15003898915215,0.84996101084785,0.699922021695701,FALSE,FALSE,FALSE
"DBO-08","Monocytes",27,12,15,0.444444444444444,827,2091,0.091324200913242,0.27585858177023,0.626869754867755,0.351011173097525,FALSE,FALSE,FALSE
"DBO-10","CD4 T cells",128,55,73,0.4296875,1190.5,1790.5,0.509885113465676,0.347211713326366,0.516260671149596,0.16904895782323,FALSE,TRUE,FALSE
"DBO-17","Monocytes",7,3,4,0.428571428571429,591,3320,0.171821305841924,0.15821985525147,0.749541635472343,0.591321780220873,FALSE,FALSE,FALSE
"DBO-26","Neutrophils",8,3,5,0.375,966.5,387,1.19497099731669,0.136844285823597,0.694257605397373,0.557413319573775,FALSE,FALSE,FALSE
"DBO-25","Monocytes",19,7,12,0.368421052631579,951,440,1.02714600146735,0.191495127451351,0.589604668351969,0.398109540900618,FALSE,FALSE,FALSE
"DBO-05","Neutrophils",30,11,19,0.366666666666667,1685.5,1286,0.0360428156450229,0.218739208061007,0.544864363452051,0.326125155391044,FALSE,FALSE,FALSE
"DBO-08","NK cells",6,2,4,0.333333333333333,844.5,2724.5,0.107961392607989,0.0967714111057805,0.700006684861608,0.603235273755828,FALSE,FALSE,FALSE
"DBO-21","CD4 T cells",3,1,2,0.333333333333333,802,545,0.623441396508728,0.0614919447203963,0.792340399197952,0.730848454477556,FALSE,FALSE,FALSE
"DBO-24","Monocytes",15,5,10,0.333333333333333,943,325,1.68776371308017,0.151763244397147,0.582864522614802,0.431101278217655,FALSE,FALSE,FALSE
"DBO-10","NK cells",19,6,13,0.315789473684211,1083,2234,0.178015131286159,0.153643790877923,0.539895923246725,0.386252132368802,FALSE,FALSE,FALSE
"DBO-21","Neutrophils",7,2,5,0.285714285714286,1132,376,1.65348670021567,0.0822189240040568,0.641065548167381,0.558846624163324,FALSE,FALSE,FALSE
"DBO-10","Neutrophils",19,5,14,0.263157894736842,763,1237,0.0865051903114187,0.118064123467825,0.487915508978151,0.369851385510326,FALSE,FALSE,FALSE
"DBO-01-3","Monocytes",144,37,107,0.256944444444444,1295.5,1365.5,0.112111145884,0.192543683217739,0.33397614039346,0.141432457175721,TRUE,TRUE,TRUE
"DBO-01-1","B cells",4,1,3,0.25,602,3033.5,2.17032967032967,0.0455872608097006,0.699358157417598,0.653770896607897,FALSE,FALSE,FALSE
"DBO-08","CD8 T cells",4,1,3,0.25,1193,1604.5,0.436163832772589,0.0455872608097006,0.699358157417598,0.653770896607897,FALSE,FALSE,FALSE
"DBO-15","CD4 T cells",4,1,3,0.25,639.5,8751.5,0.480010119250129,0.0455872608097006,0.699358157417598,0.653770896607897,FALSE,FALSE,FALSE
"DBO-21","Monocytes",16,4,12,0.25,705,368,1.534641851736,0.10182067491213,0.494983165355088,0.393162490442957,FALSE,FALSE,FALSE
"DBO-18","B cells",9,2,7,0.222222222222222,649,5263,0.196463654223969,0.0632251071178467,0.547411030893011,0.484185923775164,FALSE,FALSE,FALSE
"DBO-18","NK cells",5,1,4,0.2,608,2531,0,0.0362241086324301,0.624465370237475,0.588241261605044,FALSE,FALSE,FALSE
"DBO-10","B cells",11,2,9,0.181818181818182,1301,2767,0.45425048669695,0.0513676897460851,0.476980561960844,0.425612872214759,FALSE,FALSE,FALSE
"DBO-10","CD8 T cells",18,3,15,0.166666666666667,1431,1837.5,0.412663820513584,0.0583657680586145,0.392220381039157,0.333854612980543,FALSE,FALSE,FALSE
"DBO-10","Monocytes",147,23,124,0.156462585034014,816,1076,0.0382409177820268,0.106579412874958,0.223843398004515,0.117263985129557,TRUE,TRUE,TRUE
"DBO-01-4","B cells",193,30,163,0.155440414507772,853,2332,0.346620450606586,0.111104070301872,0.213225261553204,0.102121191251332,TRUE,TRUE,TRUE
"DBO-01-4","CD4 T cells",511,76,435,0.148727984344423,843,1694,0.332225913621262,0.120501817000725,0.182196142051888,0.0616943250511633,TRUE,TRUE,TRUE
"DBO-02-6","NK cells",7,1,6,0.142857142857143,3249,2011,0.303336703741153,0.0256796243447436,0.513127829274319,0.487448204929575,FALSE,FALSE,FALSE
"DBO-04","Neutrophils",42,6,36,0.142857142857143,666,705,0,0.0671596701596265,0.278410894744448,0.211251224584821,FALSE,TRUE,FALSE
"DBO-15","Monocytes",7,1,6,0.142857142857143,728,955,0.134952766531714,0.0256796243447436,0.513127829274319,0.487448204929575,FALSE,FALSE,FALSE
"DBO-18","CD4 T cells",21,3,18,0.142857142857143,544,3851,0.194552529182879,0.0498101249972527,0.346360602806209,0.296550477808957,FALSE,FALSE,FALSE
"DBO-24","Neutrophils",29,4,25,0.137931034482759,961,300,1.71102661596958,0.0549743996411197,0.30558993720352,0.250615537562401,FALSE,TRUE,FALSE
"DBO-01-4","Monocytes",424,57,367,0.134433962264151,1209.5,1191.5,0.0747415670345149,0.105227071718688,0.170205466178675,0.0649783944599866,TRUE,TRUE,TRUE
"DBO-03","B cells",269,28,241,0.104089219330855,1463,1306,0.133511348464619,0.0730021884129569,0.146324665648547,0.0733224772355899,TRUE,TRUE,TRUE
"DBO-01-1","Monocytes",202,20,182,0.099009900990099,613,1521,0.947124489185687,0.065010735449882,0.147975798321645,0.0829650628717628,TRUE,TRUE,TRUE
"DBO-01-4","CD8 T cells",245,23,222,0.0938775510204082,954,1437,0.294117647058824,0.0633709415512555,0.136923089262187,0.0735521477109317,TRUE,TRUE,TRUE
"DBO-01-3","CD4 T cells",556,46,510,0.0827338129496403,879.5,1743.5,0.44510483737824,0.0625986170403946,0.108595311723981,0.0459966946835866,TRUE,TRUE,TRUE
"DBO-26","Monocytes",13,1,12,0.0769230769230769,819,1153,0.756756756756757,0.0137104212425566,0.333139509210996,0.319429087968439,FALSE,FALSE,FALSE
"DBO-05","NK cells",71,5,66,0.0704225352112676,1129,1290,0.130378096479791,0.0304536024397109,0.154490131137899,0.124036528698188,TRUE,TRUE,TRUE
"DBO-03","NK cells",57,4,53,0.0701754385964912,1812,1016,0.106609808102345,0.027626420229066,0.167001700960337,0.139375280731271,TRUE,TRUE,TRUE
"DBO-01-2","Monocytes",289,19,270,0.0657439446366782,1083,692,0.074794315632012,0.04248925465039,0.100391671394694,0.057902416744304,TRUE,TRUE,TRUE
"DBO-03","CD4 T cells",1176,73,1103,0.0620748299319728,1685.5,875.5,0.112866817155756,0.0496588110324925,0.077342539615473,0.0276837285829806,TRUE,TRUE,TRUE
"DBO-01-2","CD8 T cells",217,13,204,0.0599078341013825,614,797,0.625978090766823,0.035341196704517,0.0997849656567045,0.0644437689521875,TRUE,TRUE,TRUE
"DBO-04","B cells",136,8,128,0.0588235294117647,1484,2432,0.225811988471055,0.0301050852226505,0.111780296895216,0.0816752116725659,TRUE,TRUE,TRUE
"DBO-03","Neutrophils",547,31,516,0.056672760511883,744,428,0,0.0402097808753675,0.079319092208469,0.0391093113331015,TRUE,TRUE,TRUE
"DBO-01-3","CD8 T cells",270,15,255,0.0555555555555556,948,1582.5,0.580226608187134,0.0339530272861832,0.0896274523330581,0.0556744250468749,TRUE,TRUE,TRUE
"DBO-02-5","B cells",40,2,38,0.05,1579,3636,0.140005103822845,0.0138206673861484,0.16503877369141,0.151218106305261,FALSE,TRUE,FALSE
"DBO-05","B cells",186,9,177,0.0483870967741935,936,2248,0.209536604694761,0.0256625137769046,0.0893885343786168,0.0637260206017122,TRUE,TRUE,TRUE
"DBO-05","Monocytes",1356,65,1291,0.0479351032448378,2736,1392,0.0440549174627725,0.0377861682451156,0.0606381428777167,0.0228519746326012,TRUE,TRUE,TRUE
"DBO-05","CD4 T cells",721,33,688,0.0457697642163662,1011,1580,0.180831826401447,0.0327738156359519,0.0635803014896401,0.0308064858536881,TRUE,TRUE,TRUE
"DBO-25","Neutrophils",23,1,22,0.0434782608695652,961,368,1.09717868338558,0.00771666614345314,0.209911550702589,0.202194884559136,FALSE,TRUE,FALSE
"DBO-01-3","B cells",96,4,92,0.0416666666666667,988.5,2457.5,0.478074393128892,0.0163207075362883,0.102281914666581,0.0859612071302927,TRUE,TRUE,TRUE
"DBO-01-2","NK cells",26,1,25,0.0384615384615385,625,917.5,0.486314927308716,0.00682198499354349,0.188927789030348,0.182105804036804,FALSE,TRUE,FALSE
"DBO-02-7","Neutrophils",26,1,25,0.0384615384615385,953,316,0.0664329602765305,0.00682198499354349,0.188927789030348,0.182105804036804,FALSE,TRUE,FALSE
"DBO-04","CD4 T cells",705,27,678,0.0382978723404255,1685,1710,0.145666423889294,0.026452124843668,0.0551478692042613,0.0286957443605933,TRUE,TRUE,TRUE
"DBO-01-3","NK cells",139,5,134,0.0359712230215827,1174,1487,0.305250305250305,0.0154608411275933,0.0814400091925439,0.0659791680649505,TRUE,TRUE,TRUE
"DBO-04","Monocytes",981,35,946,0.035677879714577,1215,1200,0.0166444740346205,0.0257638332286597,0.0492141829376339,0.0234503497089742,TRUE,TRUE,TRUE
"DBO-05","CD8 T cells",470,15,455,0.0319148936170213,1160,1397.5,0.142450142450142,0.0194345902776482,0.0519847804648769,0.0325501901872287,TRUE,TRUE,TRUE
"DBO-04","CD8 T cells",290,9,281,0.0310344827586207,1966.5,1572.5,0.0961837773883248,0.016411640859472,0.0579191186880501,0.0415074778285781,TRUE,TRUE,TRUE
"DBO-02-7","CD4 T cells",106,3,103,0.0283018867924528,1381,755,0.328990977097791,0.00967128386555984,0.0799256581848856,0.0702543743193258,TRUE,TRUE,TRUE
"DBO-01-2","CD4 T cells",255,7,248,0.0274509803921569,626,796,0.614439324116744,0.0133595864056901,0.0555685478351749,0.0422089614294848,TRUE,TRUE,TRUE
"DBO-03","Monocytes",5298,131,5167,0.0247263118157795,790,377,0,0.0208764984148223,0.0292648460379457,0.00838834762312338,TRUE,TRUE,TRUE
"DBO-02-5","Monocytes",284,7,277,0.0246478873239437,958.5,1151.5,0.019922991159582,0.0119896559971528,0.049993975178814,0.0380043191816612,TRUE,TRUE,TRUE
"DBO-04","NK cells",43,1,42,0.0232558139534884,2061,1517,0.0977198697068404,0.00411708727433376,0.120589934406072,0.116472847131738,TRUE,TRUE,TRUE
"DBO-06","Monocytes",45,1,44,0.0222222222222222,1066,1991,0,0.00393359888283343,0.115666817684149,0.111733218801315,TRUE,TRUE,TRUE
"DBO-02-7","Monocytes",392,8,384,0.0204081632653061,1023.5,540,0.116618432648265,0.0103766162991608,0.0397481454673468,0.0293715291681859,TRUE,TRUE,TRUE
"DBO-03","CD8 T cells",648,12,636,0.0185185185185185,1854,824.5,0.100858928469251,0.0106245362401623,0.0320874736265691,0.0214629373864068,TRUE,TRUE,TRUE
"DBO-01-4","NK cells",67,1,66,0.0149253731343284,1101,1138,0.183823529411765,0.0026395717340789,0.079818623197781,0.0771790514637022,TRUE,TRUE,TRUE
"DBO-02-5","CD4 T cells",72,1,71,0.0138888888888889,1289,3140.5,0.11109198391588,0.00245595188290577,0.0745660214747615,0.0721100695918558,TRUE,TRUE,TRUE
"DBO-01-1","CD4 T cells",12,0,12,0,617.5,2501.5,2.16685951963973,0,0.242494006655241,0.242494006655241,FALSE,FALSE,FALSE
"DBO-01-1","DCs",4,0,4,0,638.5,1518,1.13655533063428,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"DBO-01-1","NK cells",4,0,4,0,531,1046.5,1.74350365760454,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"DBO-01-2","B cells",64,0,64,0,584,1419.5,0.706067570219921,0,0.0566240597928053,0.0566240597928053,TRUE,TRUE,TRUE
"DBO-01-2","DCs",9,0,9,0,1004,777,0.143815915627996,0,0.299145048419544,0.299145048419544,FALSE,FALSE,FALSE
"DBO-01-3","DCs",3,0,3,0,1320,1183,0,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE
"DBO-01-4","DCs",10,0,10,0,1012,1124,0.218575062398885,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE,FALSE,FALSE
"DBO-02-5","CD8 T cells",18,0,18,0,940,2128.5,0.145661678157054,0,0.175879223646658,0.175879223646658,FALSE,FALSE,FALSE
"DBO-02-5","DCs",1,0,1,0,586,956,0.341296928327645,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-02-5","NK cells",6,0,6,0,960,1027.5,0.0472166202503281,0,0.390334287902165,0.390334287902165,FALSE,FALSE,FALSE
"DBO-02-5","Neutrophils",27,0,27,0,771,868,0,0,0.124555029741867,0.124555029741867,TRUE,TRUE,TRUE
"DBO-02-6","B cells",25,0,25,0,2918,3945,0.509646887513651,0,0.133192250939048,0.133192250939048,TRUE,TRUE,TRUE
"DBO-02-6","CD4 T cells",65,0,65,0,4013,3327,0.601956358164033,0,0.0558015313228569,0.0558015313228569,TRUE,TRUE,TRUE
"DBO-02-6","CD8 T cells",4,0,4,0,1319.5,1449,0.6161898627881,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"DBO-02-6","Monocytes",29,0,29,0,1258,616,0.224719101123596,0,0.116969798499741,0.116969798499741,TRUE,TRUE,TRUE
"DBO-02-6","Neutrophils",2,0,2,0,745.5,172.5,0.502623034603012,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"DBO-02-7","B cells",23,0,23,0,1023,1021,0.376293508936971,0,0.143116618450427,0.143116618450427,TRUE,TRUE,TRUE
"DBO-02-7","CD8 T cells",24,0,24,0,1467.5,811.5,0.362762835414278,0,0.13797620467498,0.13797620467498,TRUE,TRUE,TRUE
"DBO-02-7","DCs",3,0,3,0,1127,671,0.177462289263531,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE
"DBO-02-7","NK cells",23,0,23,0,1488,712,0.221729490022173,0,0.143116618450427,0.143116618450427,TRUE,TRUE,TRUE
"DBO-03","DCs",5,0,5,0,7746,711,0.0940331680629167,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE
"DBO-04","DCs",2,0,2,0,1691.5,1081,0.118241235888295,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"DBO-05","DCs",1,0,1,0,1462,1669,0.0683994528043776,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-06","CD4 T cells",20,0,20,0,1302.5,3045,0.0837139785216845,1.38777878078145e-17,0.161125158052819,0.161125158052819,FALSE,TRUE,FALSE
"DBO-06","CD8 T cells",1,0,1,0,748,2477,0.401069518716578,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-06","NK cells",2,0,2,0,1311.5,2132,0.0701754385964912,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"DBO-06","Neutrophils",1,0,1,0,530,509,0,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-07","DCs",1,0,1,0,554,1410,0.36101083032491,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-08","B cells",4,0,4,0,868,3718.5,0.308575480928913,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"DBO-15","DCs",2,0,2,0,888,5381,0.0564971751412429,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"DBO-15","NK cells",2,0,2,0,687,8108.5,0.360226385218629,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"DBO-16","CD4 T cells",4,0,4,0,572,6374.5,0.276290382218814,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"DBO-16","Monocytes",1,0,1,0,536,271,0,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-17","B cells",2,0,2,0,584.5,6398.5,0.853984088234778,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"DBO-17","CD4 T cells",1,0,1,0,628,3935,0.955414012738854,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"DBO-17","DCs",3,0,3,0,535,2980,0,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE
"DBO-18","DCs",15,0,15,0,791,2623,0.124688279301746,0,0.203883301035849,0.203883301035849,FALSE,FALSE,FALSE
"DBO-22","B cells",1,0,1,0,921,423,0.760043431053203,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
