"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"DBO-09","Monocytes",153,109,44,0.712418300653595,0.636186899327408,0.778244338999124,0.142057439671717,TRUE
"DBO-01-3","Monocytes",144,37,107,0.256944444444444,0.192543683217739,0.33397614039346,0.141432457175721,TRUE
"DBO-10","Monocytes",147,23,124,0.156462585034014,0.106579412874958,0.223843398004515,0.117263985129557,TRUE
"DBO-01-4","B cells",193,30,163,0.155440414507772,0.111104070301872,0.213225261553204,0.102121191251332,TRUE
"DBO-01-4","CD4 T cells",511,76,435,0.148727984344423,0.120501817000725,0.182196142051888,0.0616943250511633,TRUE
"DBO-01-4","Monocytes",424,57,367,0.134433962264151,0.105227071718688,0.170205466178675,0.0649783944599866,TRUE
"DBO-03","B cells",269,28,241,0.104089219330855,0.0730021884129569,0.146324665648547,0.0733224772355899,TRUE
"DBO-01-1","Monocytes",202,20,182,0.099009900990099,0.065010735449882,0.147975798321645,0.0829650628717628,TRUE
"DBO-01-4","CD8 T cells",245,23,222,0.0938775510204082,0.0633709415512555,0.136923089262187,0.0735521477109317,TRUE
"DBO-01-3","CD4 T cells",556,46,510,0.0827338129496403,0.0625986170403946,0.108595311723981,0.0459966946835866,TRUE
"DBO-05","NK cells",71,5,66,0.0704225352112676,0.0304536024397109,0.154490131137899,0.124036528698188,TRUE
"DBO-03","NK cells",57,4,53,0.0701754385964912,0.027626420229066,0.167001700960337,0.139375280731271,TRUE
"DBO-01-2","Monocytes",289,19,270,0.0657439446366782,0.04248925465039,0.100391671394694,0.057902416744304,TRUE
"DBO-03","CD4 T cells",1176,73,1103,0.0620748299319728,0.0496588110324925,0.077342539615473,0.0276837285829806,TRUE
"DBO-01-2","CD8 T cells",217,13,204,0.0599078341013825,0.035341196704517,0.0997849656567045,0.0644437689521875,TRUE
"DBO-04","B cells",136,8,128,0.0588235294117647,0.0301050852226505,0.111780296895216,0.0816752116725659,TRUE
"DBO-03","Neutrophils",547,31,516,0.056672760511883,0.0402097808753675,0.079319092208469,0.0391093113331015,TRUE
"DBO-01-3","CD8 T cells",270,15,255,0.0555555555555556,0.0339530272861832,0.0896274523330581,0.0556744250468749,TRUE
"DBO-05","B cells",186,9,177,0.0483870967741935,0.0256625137769046,0.0893885343786168,0.0637260206017122,TRUE
"DBO-05","Monocytes",1356,65,1291,0.0479351032448378,0.0377861682451156,0.0606381428777167,0.0228519746326012,TRUE
"DBO-05","CD4 T cells",721,33,688,0.0457697642163662,0.0327738156359519,0.0635803014896401,0.0308064858536881,TRUE
"DBO-01-3","B cells",96,4,92,0.0416666666666667,0.0163207075362883,0.102281914666581,0.0859612071302927,TRUE
"DBO-04","CD4 T cells",705,27,678,0.0382978723404255,0.026452124843668,0.0551478692042613,0.0286957443605933,TRUE
"DBO-01-3","NK cells",139,5,134,0.0359712230215827,0.0154608411275933,0.0814400091925439,0.0659791680649505,TRUE
"DBO-04","Monocytes",981,35,946,0.035677879714577,0.0257638332286597,0.0492141829376339,0.0234503497089742,TRUE
"DBO-05","CD8 T cells",470,15,455,0.0319148936170213,0.0194345902776482,0.0519847804648769,0.0325501901872287,TRUE
"DBO-04","CD8 T cells",290,9,281,0.0310344827586207,0.016411640859472,0.0579191186880501,0.0415074778285781,TRUE
"DBO-02-7","CD4 T cells",106,3,103,0.0283018867924528,0.00967128386555984,0.0799256581848856,0.0702543743193258,TRUE
"DBO-01-2","CD4 T cells",255,7,248,0.0274509803921569,0.0133595864056901,0.0555685478351749,0.0422089614294848,TRUE
"DBO-03","Monocytes",5298,131,5167,0.0247263118157795,0.0208764984148223,0.0292648460379457,0.00838834762312338,TRUE
"DBO-02-5","Monocytes",284,7,277,0.0246478873239437,0.0119896559971528,0.049993975178814,0.0380043191816612,TRUE
"DBO-04","NK cells",43,1,42,0.0232558139534884,0.00411708727433376,0.120589934406072,0.116472847131738,TRUE
"DBO-06","Monocytes",45,1,44,0.0222222222222222,0.00393359888283343,0.115666817684149,0.111733218801315,TRUE
"DBO-02-7","Monocytes",392,8,384,0.0204081632653061,0.0103766162991608,0.0397481454673468,0.0293715291681859,TRUE
"DBO-03","CD8 T cells",648,12,636,0.0185185185185185,0.0106245362401623,0.0320874736265691,0.0214629373864068,TRUE
"DBO-01-4","NK cells",67,1,66,0.0149253731343284,0.0026395717340789,0.079818623197781,0.0771790514637022,TRUE
"DBO-02-5","CD4 T cells",72,1,71,0.0138888888888889,0.00245595188290577,0.0745660214747615,0.0721100695918558,TRUE
"DBO-01-2","B cells",64,0,64,0,0,0.0566240597928053,0.0566240597928053,TRUE
"DBO-02-5","Neutrophils",27,0,27,0,0,0.124555029741867,0.124555029741867,TRUE
"DBO-02-6","B cells",25,0,25,0,0,0.133192250939048,0.133192250939048,TRUE
"DBO-02-6","CD4 T cells",65,0,65,0,0,0.0558015313228569,0.0558015313228569,TRUE
"DBO-02-6","Monocytes",29,0,29,0,0,0.116969798499741,0.116969798499741,TRUE
"DBO-02-7","B cells",23,0,23,0,0,0.143116618450427,0.143116618450427,TRUE
"DBO-02-7","CD8 T cells",24,0,24,0,0,0.13797620467498,0.13797620467498,TRUE
"DBO-02-7","NK cells",23,0,23,0,0,0.143116618450427,0.143116618450427,TRUE
