"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"DBO-01-2","Neutrophils",1,1,0,1,0.206549314377237,1,0.793450685622763,FALSE
"DBO-07","CD4 T cells",67,67,0,1,0.945773860608698,1,0.0542261393913017,FALSE
"DBO-07","NK cells",1,1,0,1,0.206549314377237,1,0.793450685622763,FALSE
"DBO-09","CD8 T cells",20,20,0,1,0.838874841947181,1,0.161125158052819,FALSE
"DBO-18","Neutrophils",2,2,0,1,0.342380227506653,1,0.657619772493347,FALSE
"DBO-09","CD4 T cells",134,128,6,0.955223880597015,0.905755277264465,0.979319511146611,0.0735642338821461,FALSE
"DBO-09","B cells",18,15,3,0.833333333333333,0.607779618960843,0.941634231941385,0.333854612980543,FALSE
"DBO-08","CD4 T cells",61,49,12,0.80327868852459,0.686900594244925,0.883721977685728,0.196821383440804,FALSE
"DBO-07","B cells",10,8,2,0.8,0.490162471536642,0.943317848545625,0.453155377008983,FALSE
"DBO-09","NK cells",9,7,2,0.777777777777778,0.452588969106989,0.936774892882153,0.484185923775164,FALSE
"DBO-07","CD8 T cells",3,2,1,0.666666666666667,0.207659600802048,0.938508055279604,0.730848454477556,FALSE
"DBO-07","Monocytes",22,14,8,0.636363636363636,0.42951708090131,0.802667953296339,0.373150872395029,FALSE
"DBO-08","Neutrophils",5,3,2,0.6,0.230724281276013,0.882379225767352,0.651654944491339,FALSE
"DBO-09","Neutrophils",5,3,2,0.6,0.230724281276013,0.882379225767352,0.651654944491339,FALSE
"DBO-18","Monocytes",126,75,51,0.595238095238095,0.507945383982466,0.67689542278283,0.168950038800364,TRUE
"DBO-01-4","Neutrophils",7,4,3,0.571428571428571,0.250458364527657,0.84178014474853,0.591321780220873,FALSE
"DBO-01-3","Neutrophils",4,2,2,0.5,0.15003898915215,0.84996101084785,0.699922021695701,FALSE
"DBO-08","Monocytes",27,12,15,0.444444444444444,0.27585858177023,0.626869754867755,0.351011173097525,FALSE
"DBO-10","CD4 T cells",128,55,73,0.4296875,0.347211713326366,0.516260671149596,0.16904895782323,TRUE
"DBO-17","Monocytes",7,3,4,0.428571428571429,0.15821985525147,0.749541635472343,0.591321780220873,FALSE
"DBO-26","Neutrophils",8,3,5,0.375,0.136844285823597,0.694257605397373,0.557413319573775,FALSE
"DBO-25","Monocytes",19,7,12,0.368421052631579,0.191495127451351,0.589604668351969,0.398109540900618,FALSE
"DBO-05","Neutrophils",30,11,19,0.366666666666667,0.218739208061007,0.544864363452051,0.326125155391044,FALSE
"DBO-08","NK cells",6,2,4,0.333333333333333,0.0967714111057805,0.700006684861608,0.603235273755828,FALSE
"DBO-21","CD4 T cells",3,1,2,0.333333333333333,0.0614919447203963,0.792340399197952,0.730848454477556,FALSE
"DBO-24","Monocytes",15,5,10,0.333333333333333,0.151763244397147,0.582864522614802,0.431101278217655,FALSE
"DBO-10","NK cells",19,6,13,0.315789473684211,0.153643790877923,0.539895923246725,0.386252132368802,FALSE
"DBO-21","Neutrophils",7,2,5,0.285714285714286,0.0822189240040568,0.641065548167381,0.558846624163324,FALSE
"DBO-10","Neutrophils",19,5,14,0.263157894736842,0.118064123467825,0.487915508978151,0.369851385510326,FALSE
"DBO-01-1","B cells",4,1,3,0.25,0.0455872608097006,0.699358157417598,0.653770896607897,FALSE
"DBO-08","CD8 T cells",4,1,3,0.25,0.0455872608097006,0.699358157417598,0.653770896607897,FALSE
"DBO-15","CD4 T cells",4,1,3,0.25,0.0455872608097006,0.699358157417598,0.653770896607897,FALSE
"DBO-21","Monocytes",16,4,12,0.25,0.10182067491213,0.494983165355088,0.393162490442957,FALSE
"DBO-18","B cells",9,2,7,0.222222222222222,0.0632251071178467,0.547411030893011,0.484185923775164,FALSE
"DBO-18","NK cells",5,1,4,0.2,0.0362241086324301,0.624465370237475,0.588241261605044,FALSE
"DBO-10","B cells",11,2,9,0.181818181818182,0.0513676897460851,0.476980561960844,0.425612872214759,FALSE
"DBO-10","CD8 T cells",18,3,15,0.166666666666667,0.0583657680586145,0.392220381039157,0.333854612980543,FALSE
"DBO-02-6","NK cells",7,1,6,0.142857142857143,0.0256796243447436,0.513127829274319,0.487448204929575,FALSE
"DBO-04","Neutrophils",42,6,36,0.142857142857143,0.0671596701596265,0.278410894744448,0.211251224584821,TRUE
"DBO-15","Monocytes",7,1,6,0.142857142857143,0.0256796243447436,0.513127829274319,0.487448204929575,FALSE
"DBO-18","CD4 T cells",21,3,18,0.142857142857143,0.0498101249972527,0.346360602806209,0.296550477808957,FALSE
"DBO-24","Neutrophils",29,4,25,0.137931034482759,0.0549743996411197,0.30558993720352,0.250615537562401,TRUE
"DBO-26","Monocytes",13,1,12,0.0769230769230769,0.0137104212425566,0.333139509210996,0.319429087968439,FALSE
"DBO-02-5","B cells",40,2,38,0.05,0.0138206673861484,0.16503877369141,0.151218106305261,TRUE
"DBO-25","Neutrophils",23,1,22,0.0434782608695652,0.00771666614345314,0.209911550702589,0.202194884559136,TRUE
"DBO-01-2","NK cells",26,1,25,0.0384615384615385,0.00682198499354349,0.188927789030348,0.182105804036804,TRUE
"DBO-02-7","Neutrophils",26,1,25,0.0384615384615385,0.00682198499354349,0.188927789030348,0.182105804036804,TRUE
"DBO-01-1","CD4 T cells",12,0,12,0,0,0.242494006655241,0.242494006655241,FALSE
"DBO-01-1","DCs",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"DBO-01-1","NK cells",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"DBO-01-2","DCs",9,0,9,0,0,0.299145048419544,0.299145048419544,FALSE
"DBO-01-3","DCs",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"DBO-01-4","DCs",10,0,10,0,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE
"DBO-02-5","CD8 T cells",18,0,18,0,0,0.175879223646658,0.175879223646658,FALSE
"DBO-02-5","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"DBO-02-5","NK cells",6,0,6,0,0,0.390334287902165,0.390334287902165,FALSE
"DBO-02-6","CD8 T cells",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"DBO-02-6","Neutrophils",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"DBO-02-7","DCs",3,0,3,0,0,0.561497031755045,0.561497031755045,FALSE
"DBO-03","DCs",5,0,5,0,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE
"DBO-04","DCs",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"DBO-05","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"DBO-06","CD4 T cells",20,0,20,0,1.38777878078145e-17,0.161125158052819,0.161125158052819,TRUE
"DBO-06","CD8 T cells",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"DBO-06","NK cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"DBO-06","Neutrophils",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"DBO-07","DCs",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
"DBO-08","B cells",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"DBO-15","DCs",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"DBO-15","NK cells",2,0,2,0,0,0.657619772493347,0.657619772493347,FALSE
"DBO-16","CD4 T cells",4,0,4,0,0,0.489890836454597,0.489890836454597,FALSE
"DBO-16","Monocytes",1,0,1,0,0,0.793450685622763,0.793450685622763,FALSE
