"sample_id","total_celltypes","usable_celltypes","retained_cells","retained_PLA","mean_freq_PLA_usable"
"DBO-03",7,6,7995,279,0.0560428464509167
"DBO-01-4",7,5,1440,187,0.109481057054216
"DBO-05",7,5,2804,127,0.0488858786127373
"DBO-09",6,1,153,109,0.712418300653595
"DBO-01-3",7,5,1205,107,0.0945743405275779
"DBO-04",7,5,2155,80,0.0374179156357753
"DBO-01-2",7,4,825,39,0.0382756897825544
"DBO-10",6,1,147,23,0.156462585034014
"DBO-01-1",5,1,202,20,0.099009900990099
"DBO-02-7",7,5,568,11,0.00974201001155179
"DBO-02-5",7,3,383,8,0.0128455920709442
"DBO-06",5,1,45,1,0.0222222222222222
"DBO-02-6",6,3,119,0,0
"DBO-07",6,0,0,0,NA
"DBO-08",6,0,0,0,NA
"DBO-15",4,0,0,0,NA
"DBO-16",2,0,0,0,NA
"DBO-17",4,0,0,0,NA
"DBO-18",6,0,0,0,NA
"DBO-21",3,0,0,0,NA
"DBO-22",3,0,0,0,NA
"DBO-23",2,0,0,0,NA
"DBO-24",3,0,0,0,NA
"DBO-25",2,0,0,0,NA
"DBO-26",2,0,0,0,NA
