"lineage","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_above_pla_q25"
"B cells","CD41",79,913,2.78043852899995,0.596183845968087,2.18425468303186,0
"B cells","CD42b",79,913,0.995741019424097,0.450380969937381,0.545360049486715,0.610076670317634
"B cells","CD62P",79,913,1.68461494857052,0.311787620138215,1.37282732843231,0.122672508214677
"CD4 T cells","CD41",266,3901,2.29693675411445,0.491047993244657,1.80588876086979,0
"CD4 T cells","CD42b",266,3901,0.759786411576869,0.450380969937381,0.309405441639487,0.519610356318893
"CD4 T cells","CD62P",266,3901,1.27005602386003,0.311787620138215,0.95826840372181,0.238144065624199
"CD8 T cells","CD41",87,2077,2.32174071777109,0.462941296418249,1.85879942135284,0
"CD8 T cells","CD42b",87,2077,0.759786411576869,0,0.759786411576869,0.46172363986519
"CD8 T cells","CD62P",87,2077,1.36785454815949,0.311787620138215,1.05606692802128,0.109773712084738
"NK cells","CD41",16,384,3.89616049154965,0.491047993244657,3.405112498305,0
"NK cells","CD42b",16,384,1.41565746788149,0,1.41565746788149,0.0130208333333333
"NK cells","CD62P",16,384,2.32726480843451,0.311787620138215,2.0154771882963,0.0546875
"Monocytes","CD41",512,9232,2.66758638059194,0.570917887756421,2.09666849283552,0
"Monocytes","CD42b",512,9232,0.759786411576869,0,0.759786411576869,0.366334488734835
"Monocytes","CD62P",512,9232,1.36785454815949,0.311787620138215,1.05606692802128,0.178292894280763
"Neutrophils","CD41",31,543,3.33674174226574,0.544996977156978,2.79174476510877,0
"Neutrophils","CD42b",31,543,0.995741019424097,0,0.995741019424097,0.0810313075506446
"Neutrophils","CD62P",31,543,2.67669639863359,0.311787620138215,2.36490877849537,0.00368324125230203
