"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"GSM8571063_IC23","Monocytes",1680,1652,28,0.983333333333333,0.976017387672147,0.988443958431894,0.0124265707597473,TRUE
"GSM8571056_HC01","Monocytes",898,872,26,0.971046770601336,0.957914509994823,0.980166115735429,0.0222516057406055,TRUE
"GSM8571061_IC10","Monocytes",547,527,20,0.963436928702011,0.944201702838131,0.976208320556704,0.0320066177185732,TRUE
"GSM8571060_IC09","Monocytes",1938,1819,119,0.93859649122807,0.927015951996777,0.948441718493187,0.0214257664964101,TRUE
"GSM8571062_IC19","Monocytes",1895,1766,129,0.931926121372032,0.919689840943516,0.942414782059968,0.0227249411164514,TRUE
"GSM8571047_Abd-S51","Monocytes",1021,951,70,0.931439764936337,0.914266759617627,0.945378400536008,0.0311116409183805,TRUE
"GSM8571051_Abd-S75","Monocytes",902,836,66,0.926829268292683,0.907964238326896,0.94207413483661,0.0341098965097144,TRUE
"GSM8571068_Res-S149","Monocytes",1142,1052,90,0.921190893169877,0.904114197562631,0.935443485216709,0.0313292876540783,TRUE
"GSM8571057_HC05","Monocytes",273,249,24,0.912087912087912,0.872527103690528,0.940212436689256,0.0676853329987281,TRUE
"GSM8571042_Abd-S111","Monocytes",416,364,52,0.875,0.839748545066413,0.903389116650909,0.0636405715844959,TRUE
"GSM8571049_Abd-S66","Monocytes",1341,1172,169,0.873974645786726,0.855136832088285,0.890675987275227,0.035539155186942,TRUE
"GSM8571081_Uri-S88","Monocytes",1234,1052,182,0.852512155591572,0.831634419932561,0.871201952044234,0.0395675321116726,TRUE
"GSM8571073_Res-S19","Monocytes",249,209,40,0.839357429718876,0.788647427171908,0.879755613960079,0.0911081867881711,TRUE
"GSM8571059_IC08","Monocytes",1271,1064,207,0.837136113296617,0.815825872178092,0.856414580993848,0.0405887088157564,TRUE
"GSM8571046_Abd-S49","Monocytes",573,477,96,0.832460732984293,0.799690259422454,0.860803181494439,0.0611129220719848,TRUE
"GSM8571052_Abd-S80","Monocytes",425,333,92,0.783529411764706,0.741928315285501,0.820050931456979,0.0781226161714783,TRUE
"GSM8571055_Abd-S91","Monocytes",172,133,39,0.773255813953488,0.705109471109086,0.829462981999666,0.124353510890579,TRUE
"GSM8571054_Abd-S9","Monocytes",159,118,41,0.742138364779874,0.668994410155219,0.803858145684294,0.134863735529074,TRUE
"GSM8571069_Res-S164","Monocytes",583,429,154,0.735849056603774,0.698601382220269,0.770008999453574,0.0714076172333049,TRUE
"GSM8571072_Res-S183","Monocytes",531,386,145,0.726930320150659,0.687506403736412,0.763094416423259,0.0755880126868471,TRUE
"GSM8571045_Abd-S45","Monocytes",138,100,38,0.72463768115942,0.644790391524302,0.792317351976673,0.147526960452371,TRUE
"GSM8571080_Uri-S85","Monocytes",336,233,103,0.693452380952381,0.642197595822652,0.740333718782462,0.0981361229598103,TRUE
