"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"GSM8571064_Res-S10","DCs",2,2,0,1,0.342380227506653,1,0.657619772493347,FALSE
"GSM8571065_Res-S100","DCs",18,18,0,1,0.824120776353342,1,0.175879223646658,FALSE
"GSM8571077_Res-S70","DCs",4,4,0,1,0.510109163545403,1,0.489890836454597,FALSE
"GSM8571066_Res-S118","Monocytes",913,902,11,0.987951807228916,0.978555329620927,0.993259362469969,0.0147040328490422,FALSE
"GSM8571063_IC23","DCs",109,107,2,0.981651376146789,0.935555424350012,0.994953637632657,0.0593982132826449,FALSE
"GSM8571050_Abd-S67","Monocytes",429,418,11,0.974358974358974,0.954674809391461,0.985623287535066,0.0309484781436051,FALSE
"GSM8571066_Res-S118","DCs",273,265,8,0.970695970695971,0.943251266620552,0.985077897279913,0.0418266306593618,FALSE
"GSM8571057_HC05","DCs",102,99,3,0.970588235294118,0.917069425006233,0.989947551797096,0.0728781267908634,FALSE
"GSM8571058_HC13","Monocytes",449,434,15,0.966592427616927,0.945616804416035,0.979651833952843,0.0340350295368086,FALSE
"GSM8571075_Res-S40","Monocytes",311,300,11,0.964630225080386,0.93778499686009,0.980137315793749,0.0423523189336585,FALSE
"GSM8571076_Res-S41","Monocytes",203,195,8,0.960591133004926,0.924176122588162,0.979897949728771,0.0557218271406086,FALSE
"GSM8571050_Abd-S67","DCs",73,70,3,0.958904109589041,0.885999083737017,0.985926059646079,0.0999269759090626,FALSE
"GSM8571047_Abd-S51","DCs",46,44,2,0.956521739130435,0.854677409737809,0.987994554401443,0.133317144663634,FALSE
"GSM8571044_Abd-S42","Monocytes",346,330,16,0.953757225433526,0.926211097727307,0.971338326684783,0.0451272289574767,FALSE
"GSM8571071_Res-S170","Monocytes",359,341,18,0.949860724233983,0.922143665894411,0.968052292003602,0.045908626109191,FALSE
"GSM8571058_HC13","DCs",144,136,8,0.944444444444444,0.894208930428271,0.971583392111251,0.0773744616829801,FALSE
"GSM8571053_Abd-S81","Monocytes",152,143,9,0.940789473684211,0.891308517766423,0.968539696014583,0.0772311782481601,FALSE
"GSM8571076_Res-S41","DCs",33,31,2,0.939393939393939,0.803937551913522,0.983219116912808,0.179281564999286,FALSE
"GSM8571077_Res-S70","Monocytes",115,108,7,0.939130434782609,0.879666877957846,0.97020488398667,0.0905380060288239,FALSE
"GSM8571070_Res-S166","Monocytes",189,177,12,0.936507936507937,0.892314871908321,0.963310267048021,0.0709953951397,FALSE
"GSM8571065_Res-S100","Monocytes",183,171,12,0.934426229508197,0.888894335519117,0.9620945242531,0.073200188733983,FALSE
"GSM8571053_Abd-S81","DCs",27,25,2,0.925925925925926,0.766304073169769,0.979445345939011,0.213141272769243,FALSE
"GSM8571073_Res-S19","DCs",25,23,2,0.92,0.750338910496047,0.977779598715153,0.227440688219106,FALSE
"GSM8571062_IC19","DCs",80,73,7,0.9125,0.83023204491525,0.95696799821794,0.12673595330269,FALSE
"GSM8571081_Uri-S88","DCs",65,59,6,0.907692307692308,0.812879994840396,0.957004910388659,0.144124915548263,FALSE
"GSM8571068_Res-S149","DCs",54,49,5,0.907407407407407,0.800901174090373,0.959798865242971,0.158897691152597,FALSE
"GSM8571056_HC01","DCs",126,114,12,0.904761904761905,0.840895044187875,0.944678384564631,0.103783340376755,FALSE
"GSM8571075_Res-S40","DCs",21,19,2,0.904761904761905,0.710858609260818,0.973481232561926,0.262622623301108,FALSE
"GSM8571071_Res-S170","DCs",161,145,16,0.900621118012422,0.844670363988505,0.93789975473581,0.093229390747305,FALSE
"GSM8571051_Abd-S75","DCs",180,162,18,0.9,0.847477852793527,0.935805748869182,0.0883278960756546,FALSE
"GSM8571044_Abd-S42","DCs",85,76,9,0.894117647058824,0.81086481399579,0.943287592880193,0.132422778884404,FALSE
"GSM8571060_IC09","DCs",55,49,6,0.890909090909091,0.781744509134465,0.949032749992177,0.167288240857712,FALSE
"GSM8571070_Res-S166","DCs",9,8,1,0.888888888888889,0.565000294423344,0.980109112361455,0.415108817938111,FALSE
"GSM8571067_Res-S146","Monocytes",119,105,14,0.882352941176471,0.812179623744851,0.928612620776019,0.116432997031169,FALSE
"GSM8571064_Res-S10","Monocytes",61,52,9,0.852459016393443,0.742767647052789,0.920388314920672,0.177620667867883,FALSE
"GSM8571049_Abd-S66","DCs",27,23,4,0.851851851851852,0.67521314572187,0.940840722237557,0.265627576515687,FALSE
"GSM8571048_Abd-S55","DCs",12,10,2,0.833333333333333,0.551969137747027,0.953034857816146,0.401065720069119,FALSE
