"sample_id","total_celltypes","usable_celltypes","retained_cells","retained_PLA","mean_freq_PLA_usable"
"GSM8571062_IC19",6,5,5997,2204,0.272573358751764
"GSM8571060_IC09",6,5,5493,2142,0.281876665566201
"GSM8571063_IC23",6,5,6750,2000,0.286557764723205
"GSM8571056_HC01",6,5,6092,1715,0.330279770127403
"GSM8571068_Res-S149",6,5,3629,1588,0.348073406516556
"GSM8571081_Uri-S88",6,5,3157,1435,0.380147540780985
"GSM8571049_Abd-S66",6,5,3310,1313,0.237214997093599
"GSM8571059_IC08",6,4,3357,1209,0.285835440035729
"GSM8571051_Abd-S75",6,5,2502,1198,0.378139887273854
"GSM8571057_HC05",6,5,5448,1178,0.317202933972612
"GSM8571072_Res-S183",6,5,3660,1178,0.335191404964888
"GSM8571047_Abd-S51",6,4,2537,1066,0.327750720378507
"GSM8571074_Res-S22",6,5,4445,1062,0.250153839554252
"GSM8571050_Abd-S67",6,4,3371,1042,0.231233420223176
"GSM8571069_Res-S164",6,6,3482,942,0.324806119587894
"GSM8571061_IC10",6,5,6234,899,0.241187061151668
"GSM8571058_HC13",6,4,4841,851,0.175048542253132
"GSM8571042_Abd-S111",6,4,3439,791,0.354156478360165
"GSM8571078_Uri-S134",6,4,2835,775,0.230288915620233
"GSM8571044_Abd-S42",6,4,2525,760,0.252659186022314
"GSM8571079_Uri-S157",6,5,5406,738,0.164074906459738
"GSM8571046_Abd-S49",6,5,2869,664,0.252259359138197
"GSM8571071_Res-S170",6,3,2203,581,0.222744727943603
"GSM8571073_Res-S19",6,5,2158,568,0.314626968899322
"GSM8571052_Abd-S80",6,5,2759,528,0.223257960055657
"GSM8571066_Res-S118",6,4,2467,521,0.186655957627717
"GSM8571055_Abd-S91",6,5,3401,520,0.245659117418771
"GSM8571053_Abd-S81",6,2,1661,491,0.346526861451461
"GSM8571075_Res-S40",6,3,2731,490,0.201190928711861
"GSM8571076_Res-S41",6,3,2375,430,0.177156071864152
"GSM8571054_Abd-S9",6,5,2488,429,0.271862826539412
"GSM8571065_Res-S100",6,4,2483,338,0.190066329826404
"GSM8571080_Uri-S85",6,5,2215,331,0.191158683053657
"GSM8571070_Res-S166",6,4,1623,305,0.227736353691567
"GSM8571064_Res-S10",6,3,4147,272,0.0541304129969135
"GSM8571067_Res-S146",6,4,2367,224,0.14866233733706
"GSM8571045_Abd-S45",6,5,1268,187,0.22295547791834
"GSM8571043_Abd-S23",6,4,1143,134,0.107844079088034
"GSM8571077_Res-S70",6,2,347,63,0.156215412285556
"GSM8571048_Abd-S55",6,3,624,49,0.0880300451112241
