"lineage","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_above_pla_q25"
"DCs","CD41",202,100,1.74290731814019,0.747307660437712,0.995599657702481,0
"DCs","CD42b",202,100,0.433096240695944,0.433096240695944,0,0.61
"DCs","CD62P",202,100,1.34170590376745,0.579350561411579,0.762355342355875,0.03
"NK cells","CD41",2232,8163,1.25001030144291,0.16371978505585,1.08629051638706,0.0284209236800196
"NK cells","CD42b",2232,8163,0.433096240695944,0,0.433096240695944,1
"NK cells","CD62P",2232,8163,0.943811641578168,0.145809511957868,0.7980021296203,0.120053901751807
"CD8 T cells","CD41",7457,19305,1.08408267282387,0.16371978505585,0.920362887768022,0
"CD8 T cells","CD42b",7457,19305,0.433096240695944,0,0.433096240695944,1
"CD8 T cells","CD62P",7457,19305,0.880780435720366,0.145809511957868,0.734970923762498,0.107640507640508
"B cells","CD41",482,20738,2.40648010683596,0.0852066782064391,2.32127342862953,0
"B cells","CD42b",482,20738,1.15313155816861,0,1.15313155816861,0.0980325971646253
"B cells","CD62P",482,20738,2.02722448316659,0.145809511957868,1.88141497120872,0.0020252676246504
"CD4 T cells","CD41",5680,45049,1.19770159285942,0.0852066782064391,1.11249491465298,0
"CD4 T cells","CD42b",5680,45049,0.433096240695944,0,0.433096240695944,1
"CD4 T cells","CD62P",5680,45049,1.00310438991791,0.145809511957868,0.857294877960039,0.0881040644631401
"Monocytes","CD41",17158,3273,2.25533015851388,0.989504009585991,1.26582614892789,0
"Monocytes","CD42b",17158,3273,0.965489900864423,0.433096240695944,0.532393660168479,0.626947754353804
"Monocytes","CD62P",17158,3273,1.91811363047615,0.741380255801536,1.17673337467461,0.0568285976168653
