"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"GSM8571064_Res-S10","DCs",2,2,0,1,11632,8114,4.84732385402315,0.342380227506653,1,0.657619772493347,FALSE,FALSE,FALSE,3,3,1,0.668542848410657,1,"ADT_suspicious",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571065_Res-S100","DCs",18,18,0,1,4632,2168.5,2.41566053242963,0.824120776353342,1,0.175879223646658,FALSE,FALSE,FALSE,3,3,2,1.13003888710966,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571077_Res-S70","DCs",4,4,0,1,6780,2646,2.02132782937736,0.510109163545403,1,0.489890836454597,FALSE,FALSE,FALSE,3,3,2,1.82234331795638,0.341549295774648,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571066_Res-S118","Monocytes",913,902,11,0.987951807228916,5670,1747,1.80887778174461,0.978555329620927,0.993259362469969,0.0147040328490422,TRUE,FALSE,FALSE,3,3,1,0.684623143029744,1,"ADT_suspicious",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571063_IC23","Monocytes",1680,1652,28,0.983333333333333,3560,2306,1.8305161336375,0.976017387672147,0.988443958431894,0.0124265707597473,TRUE,TRUE,TRUE,3,3,2,1.82270337233913,0.113894736842105,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571063_IC23","DCs",109,107,2,0.981651376146789,4310,2921,1.76991150442478,0.935555424350012,0.994953637632657,0.0593982132826449,TRUE,FALSE,FALSE,3,3,2,1.82270337233913,0.113894736842105,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571050_Abd-S67","Monocytes",429,418,11,0.974358974358974,6596,1650,1.97684269980232,0.954674809391461,0.985623287535066,0.0309484781436051,TRUE,FALSE,FALSE,3,3,2,0.763858839516383,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571056_HC01","Monocytes",898,872,26,0.971046770601336,7338,1983.5,2.52115288390274,0.957914509994823,0.980166115735429,0.0222516057406055,TRUE,TRUE,TRUE,3,3,2,1.30553294232635,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571066_Res-S118","DCs",273,265,8,0.970695970695971,6869,1828,2.17699952673923,0.943251266620552,0.985077897279913,0.0418266306593618,TRUE,FALSE,FALSE,3,3,1,0.684623143029744,1,"ADT_suspicious",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571057_HC05","DCs",102,99,3,0.970588235294118,8236.5,1524,2.33933915356116,0.917069425006233,0.989947551797096,0.0728781267908634,TRUE,FALSE,FALSE,3,3,2,0.87300063609437,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571058_HC13","Monocytes",449,434,15,0.966592427616927,6663,2167,2.28726497383214,0.945616804416035,0.979651833952843,0.0340350295368086,TRUE,FALSE,FALSE,3,3,2,0.834967575513683,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
