"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"P7_0","Monocytes",2861,2835,26,0.990912268437609,0.986717299796252,0.993790710987814,0.00707341119156291,TRUE
"P5_2","Monocytes",2618,2583,35,0.986631016042781,0.981464431946441,0.990371600101848,0.00890716815540693,TRUE
"P3_2","Monocytes",1337,1313,24,0.982049364248317,0.973428696906719,0.987907926092476,0.0144792291857574,TRUE
"P8_2","Monocytes",1867,1833,34,0.981788966256026,0.974660394680278,0.986938992332462,0.0122785976521842,TRUE
"P4_0","Monocytes",1097,1074,23,0.979033728350046,0.968735200674908,0.985989016494303,0.0172538158193947,TRUE
"P1_2","Monocytes",1094,1071,23,0.978976234003656,0.968650009005804,0.985950485974379,0.017300476968575,TRUE
"P4_2","Monocytes",902,881,21,0.976718403547672,0.964670779332241,0.98472272835687,0.0200519490246289,TRUE
"P2_2","Monocytes",824,802,22,0.973300970873786,0.959906119058493,0.982303275855303,0.0223971567968104,TRUE
"P2_7","Monocytes",755,731,24,0.968211920529801,0.953136496294134,0.978546916336931,0.0254104200427967,TRUE
"P4_7","Monocytes",1377,1324,53,0.961510530137981,0.949999030191526,0.970454213648282,0.0204551834567561,TRUE
"P7_7","DCs",238,199,39,0.836134453781513,0.783839292844245,0.877751158934443,0.0939118660901974,TRUE
"P3_7","DCs",183,146,37,0.797814207650273,0.733777799412213,0.849604500683206,0.115826701270993,TRUE
"P1_0","DCs",291,214,77,0.735395189003436,0.681883354715361,0.78277314423147,0.100889789516108,TRUE
"P2_0","DCs",235,171,64,0.727659574468085,0.667422915210379,0.78057300864775,0.113150093437371,TRUE
"P7_0","DCs",337,244,93,0.724035608308605,0.673988877434287,0.769032345753929,0.0950434683196419,TRUE
"P2_2","DCs",166,116,50,0.698795180722892,0.62515519115829,0.763442507296937,0.138287316138646,TRUE
"P5_0","DCs",183,125,58,0.683060109289617,0.61247441140853,0.746118378558379,0.133643967149849,TRUE
"P1_2","DCs",261,168,93,0.64367816091954,0.583878438783386,0.699309851803615,0.115431413020229,TRUE
"P1_7","DCs",256,163,93,0.63671875,0.576185047549112,0.693209991709439,0.117024944160327,TRUE
"P3_2","DCs",297,175,122,0.589225589225589,0.532481381675889,0.643691145235001,0.111209763559112,TRUE
"P4_2","DCs",309,173,136,0.559870550161812,0.504123218044232,0.614147551244076,0.110024333199844,TRUE
"P2_7","DCs",233,114,119,0.489270386266094,0.425780868093246,0.553107963174318,0.127327095081072,TRUE
"P8_2","DCs",202,90,112,0.445544554455446,0.378654649377389,0.514466978665657,0.135812329288268,TRUE
"P8_0","DCs",190,77,113,0.405263157894737,0.338002749505201,0.476278466602956,0.138275717097756,TRUE
"P4_0","DCs",364,145,219,0.398351648351648,0.349372856489276,0.449453517684953,0.100080661195677,TRUE
"P5_2","DCs",181,63,118,0.348066298342541,0.28247907712289,0.41996862940948,0.137489552286589,TRUE
"P4_7","DCs",577,165,412,0.285961871750433,0.25060215285357,0.324152720013987,0.0735505671604171,TRUE
"P7_0","NK cells",809,157,652,0.19406674907293,0.168286598697161,0.222738558018925,0.0544519593217642,TRUE
"P4_0","NK cells",185,34,151,0.183783783783784,0.134602819139196,0.245829842572595,0.111227023433399,TRUE
"P7_7","NK cells",591,96,495,0.16243654822335,0.134895097049937,0.194337937932124,0.059442840882187,TRUE
"P7_2","NK cells",605,78,527,0.128925619834711,0.104545041864173,0.157988753272416,0.0534437114082425,TRUE
"P2_2","NK cells",507,50,457,0.0986193293885602,0.075607332096964,0.127667983615308,0.0520606515183438,TRUE
"P3_0","NK cells",940,90,850,0.0957446808510638,0.0785464357994343,0.116233584830725,0.0376871490312904,TRUE
"P1_7","NK cells",549,47,502,0.0856102003642987,0.0649899820372044,0.11198925361818,0.0469992715809756,TRUE
"P4_7","NK cells",377,32,345,0.0848806366047745,0.0607653479843805,0.11737034929703,0.05660500131265,TRUE
"P3_2","NK cells",981,81,900,0.0825688073394495,0.0669307314676186,0.101463335755427,0.0345326042878083,TRUE
"P4_2","NK cells",265,21,244,0.0792452830188679,0.0524131699469913,0.118101671855249,0.0656885019082575,TRUE
