"sample_id","total_celltypes","usable_celltypes","retained_cells","retained_PLA","mean_freq_PLA_usable"
"P7_0",7,6,6840,3298,0.328402088870401
"P5_2",7,6,4983,2694,0.235120047714146
"P8_2",7,6,7894,1969,0.245450715850988
"P3_2",7,6,4702,1574,0.276457480599159
"P4_7",7,6,5258,1530,0.22442601039332
"P1_2",7,6,5482,1289,0.282563803666032
"P4_0",7,6,4593,1267,0.263147946595472
"P4_2",7,6,5299,1082,0.270941429511156
"P2_2",7,6,5005,970,0.295417131847257
"P2_7",6,6,4666,879,0.251353941781468
"P7_7",7,5,4254,347,0.209373826250161
"P1_0",7,5,4138,251,0.159560480669636
"P1_7",7,5,3820,226,0.149947211739819
"P2_0",7,5,3912,205,0.157912534325833
"P3_7",7,5,3606,198,0.175136743365303
"P3_0",7,5,3302,188,0.162319164990561
"P5_0",7,5,2101,167,0.156057503358058
"P8_0",7,5,4919,138,0.0948080318479237
"P5_7",7,5,3607,117,0.124349602255203
"P8_7",7,5,5035,115,0.0834338783668143
"P7_2",7,4,4764,110,0.0387225054757633
"P6_7",7,4,3256,82,0.0238131666721339
"P6_2",7,4,4625,68,0.014771536312806
"P6_0",7,4,2410,61,0.0225834179689112
