"lineage","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_above_pla_q25"
"B cells","CD41",101,10058,1.16681324664026,0.414553516593145,0.75225973004712,0.00795386756810499
"B cells","CD42b",101,10058,1.04163426909037,0.495820958970316,0.54581331012005,0.0489162855438457
"B cells","CD61",101,10058,0.821481983850628,0.429419319244624,0.392062664606004,0.189500894810101
"B cells","CD62P",101,10058,0.84128166610965,0.480469424575777,0.360812241533874,0.076058858620004
"B cells","CLEC2",101,10058,0.865266229827475,0.493896707986011,0.371369521841464,0.049015708888447
"CD4 T cells","CD41",159,38946,1.23962543697032,0.395519920242506,0.844105516727815,0
"CD4 T cells","CD42b",159,38946,0.974733227520485,0.438353860846523,0.536379366673963,0.0259076670261388
"CD4 T cells","CD61",159,38946,0.906242052073221,0.429419319244624,0.476822732828597,0.09564525240076
"CD4 T cells","CD62P",159,38946,0.991877241600639,0.464445600584013,0.527431641016626,0.0133774970471935
"CD4 T cells","CLEC2",159,38946,0.915675875205764,0.478792590362894,0.43688328484287,0.025445488625276
"CD8 T cells","CD41",164,21594,1.20815166635611,0.405082002458028,0.803069663898084,0
"CD8 T cells","CD42b",164,21594,0.957129525311791,0.438353860846523,0.518775664465268,0.0581643048995091
"CD8 T cells","CD61",164,21594,0.906242052073221,0.429419319244624,0.476822732828597,0.0578401407798463
"CD8 T cells","CD62P",164,21594,0.948034149411107,0.46981545505253,0.478218694358578,0.0174122441418913
"CD8 T cells","CLEC2",164,21594,0.89581589999173,0.493896707986011,0.401919192005719,0.0310271371677318
"DCs","CD41",2757,2137,1.41011776675366,0.685408113362827,0.724709653390837,0.00889096864763687
"DCs","CD42b",2757,2137,1.10433884266901,0.650720904167843,0.453617938501165,0.175947590079551
"DCs","CD61",2757,2137,1.42338422871554,0.791553260990695,0.631830967724848,0.171268132896584
"DCs","CD62P",2757,2137,1.18749458367583,0.711292783814347,0.47620179986148,0.0360318203088442
"DCs","CLEC2",2757,2137,1.16653493258356,0.708887081201155,0.457647851382402,0.0533458118858212
"Monocytes","CD41",14447,285,1.44098647622393,0.4959871386094,0.94499933761453,0
"Monocytes","CD42b",14447,285,1.10433884266901,0.55016429069637,0.554174551972638,0.087719298245614
"Monocytes","CD61",14447,285,1.35659840780205,0.661986166000952,0.6946122418011,0.0421052631578947
"Monocytes","CD62P",14447,285,1.18749458367583,0.595466623880394,0.592027959795433,0.0210526315789474
"Monocytes","CLEC2",14447,285,1.16653493258356,0.620454997688682,0.546079934894875,0.0140350877192982
"NK cells","CD41",1197,16626,1.62831632905819,0.395519920242506,1.23279640881569,0
"NK cells","CD42b",1197,16626,1.21905780506166,0.438353860846523,0.780703944215142,0.0116684710694094
"NK cells","CD61",1197,16626,1.42338422871554,0.429419319244624,0.993964909470919,0.00667629014796103
"NK cells","CD62P",1197,16626,1.35546265080076,0.46981545505253,0.885647195748228,0.00282689763021773
"NK cells","CLEC2",1197,16626,1.23312345268963,0.478792590362894,0.754330862326738,0.00192469625887165
