"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"B cells","B cells",4,73,632,6700,2.55189259550026,7431,0.902166599380972,0.497755609273625,"immune_aging","AUCell","gmm_dist_dual"
"CD4 T cells","CD4 T cells",0,2,359,17718,-0.381155579779961,18092,0.979327879725846,0.499943566563209,"immune_aging","AUCell","gmm_dist_dual"
"CD8 T cells","CD8 T cells",0,1,161,6165,-0.419983916149993,6332,0.973626026531901,0.499918910071372,"immune_aging","AUCell","gmm_dist_dual"
"DCs","DCs",0,8,0,151,-0.0946786045915741,446,0.338565022421525,0.474842764309165,"immune_aging","AUCell","gmm_dist_dual"
"NK cells","NK cells",0,4,78,4544,-0.216975804282266,6238,0.728438602116063,0.499560246152251,"immune_aging","AUCell","gmm_dist_dual"
"Unassigned","Unassigned",0,0,0,0,-0.149720147144043,21271,0,0,"immune_aging","AUCell","gmm_dist_dual"
"Monocytes","Monocytes",12,111,576,11315,-0.237352528912011,12014,0.94281671383386,0.505346738669812,"immune_aging","AUCell","gmm_dist_dual"
"cDC1","cDC1",0,0,0,0,0.747039851189036,1,0,0,"immune_aging","AUCell","gmm_dist_dual"
"cDC2","cDC2",0,0,0,0,-0.209507591935971,7,0,0,"immune_aging","AUCell","gmm_dist_dual"
"Neutrophils","Neutrophils",1,2,72,237,-0.4271896725965,4279,0.0556204720729142,0.502665212481713,"immune_aging","AUCell","gmm_dist_dual"
NA,NA,0,0,0,0,-0.294545182756804,500,0,0,"immune_aging","AUCell","gmm_dist_dual"
