"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"B-cells","B intermediate kappa",0,0,0,29,1.49418108989094,29,1,0.499999982758621,"vaccine","AUCell","gmm_dist_dual"
"B-cells","B intermediate lambda",0,16,0,109,1.48597762098864,125,0.872,0.435999996512,"vaccine","AUCell","gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,43,1.19094467620925,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,28,1.17445901691502,28,1,0.499999982142858,"vaccine","AUCell","gmm_dist_dual"
"B-cells","B naive kappa",0,4,1,210,1.53960821141759,215,0.976744186046512,0.4906542033147,"vaccine","AUCell","gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,16,1.38489173070316,16,1,0.499999968750002,"vaccine","AUCell","gmm_dist_dual"
"B-cells","Plasma",0,0,0,14,-0.180175100773368,14,1,0.499999964285717,"vaccine","AUCell","gmm_dist_dual"
"B-cells","Plasmablast",0,0,0,2,-0.409748124829383,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",26843,166,1040,2,0.748125277885665,28051,0.957006880325122,0.487303024661119,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",432,2,2,0,1.04657484919556,436,0.990825688073395,0.497695851387798,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","Doublet",117,0,4,0,0.946248584789437,121,0.966942148760331,0.483471070384537,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","Eryth",17,0,2,0,0.633378560885077,19,0.894736842105263,0.447368397506926,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,2,0,-0.712076041969026,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.500827986302051,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","Platelet",32,0,46,0,2.46169153928647,78,0.41025641025641,0.205128202498356,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","cDC1",4,0,1,0,2.25345563610625,5,0.8,0.399999920000016,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","cDC2_1",209,1,0,0,1.99705594828962,210,0.995238095238095,0.499999997607656,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","cDC2_2",48,0,1,0,2.16995586909891,49,0.979591836734694,0.489795908371512,"vaccine","AUCell","gmm_dist_dual"
"Classical-Monocytes","pDC",4,0,2,0,4.84864356331735,6,0.666666666666667,0.333333277777787,"vaccine","AUCell","gmm_dist_dual"
"DCs","ASDC_mDC",0,1,0,0,1.95093697580122,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD14 Mono",92,7,5,0,0.712208861277796,109,0.844036697247706,0.474226799234775,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD16 Mono",65,6,3,0,0.522245569261772,76,0.855263157894737,0.477941169442042,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,0,-0.678517166308612,4,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,9,-0.713369519059312,40,0.225,0.499999944444451,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 Proliferating",1,0,5,0,-0.636902798038517,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,18,4,-0.626885375727705,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,6,0,-0.833865553069128,10,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,18,2,-0.701763989590248,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.623618899020439,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.707413431259546,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,6,-0.702018675066761,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,0,-0.762026908404952,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,3,0,-0.71986472122236,3,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,2,0,-0.763290581875646,5,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.53575782846369,4,0.25,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,0,-0.650481894812553,3,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,6,0,-0.615512314491458,8,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,3,0,-0.714778236812019,3,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,0,-0.815315780235165,7,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,-0.832959523033536,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","Doublet",14,0,2,1,1.07704465379858,19,0.789473684210526,0.937499472656752,"vaccine","AUCell","gmm_dist_dual"
"DCs","Eryth",0,0,0,0,0.631709558187934,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","HSPC",0,0,4,0,-0.228661332189353,4,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","MAIT",0,0,3,0,-0.564170612474579,3,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","NK Proliferating",0,0,4,0,-0.443366607728981,4,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","NK_1",0,0,0,1,-0.938583550867023,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"DCs","NK_2",0,0,1,0,-0.769298991585362,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","NK_3",0,0,1,0,-1.09821173740093,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,0,-0.302693523255488,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","Platelet",16,0,20,0,2.00418610947197,39,0.41025641025641,0.222222216049383,"vaccine","AUCell","gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,-0.62767219128493,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,-0.603054401502069,4,0.25,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"DCs","cDC1",2,0,1,0,2.15097887050166,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","gmm_dist_dual"
"DCs","cDC2_1",18,0,0,0,1.86299642892555,18,1,0.499999972222224,"vaccine","AUCell","gmm_dist_dual"
"DCs","cDC2_2",45,12,1,0,2.16370604377839,58,0.775862068965517,0.489130424149339,"vaccine","AUCell","gmm_dist_dual"
"DCs","dnT_2",0,0,1,0,-0.639355210164932,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,-0.639116781208197,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"DCs","gdT_2",0,0,0,2,-0.574860177368186,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"DCs","gdT_3",0,0,1,1,-0.620280893626153,2,0.5,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"DCs","pDC",5,0,1,0,4.4172461042653,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD14 Mono",0,0,1,0,-0.378037073583664,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD16 Mono",1,2,0,0,0.538388464521959,5,0.2,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD4 Naive",0,0,0,0,-0.187293908195877,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,0,-0.825568225374759,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.899242773005792,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,4,-0.717142657299639,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","CD8 TEM_5",0,0,1,11,-0.851099992825103,12,0.916666666666667,0.499999954545459,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","NK Proliferating",0,0,0,28,-0.819525284574758,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","NK_1",0,8,9,553,-0.815104122249011,570,0.970175438596491,0.49286987434426,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","NK_2",1,4,3,251,-0.808608828284268,262,0.961832061068702,0.617156829565079,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","NK_3",0,1,1,31,-0.711086200542581,33,0.939393939393939,0.484374984863282,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","NK_4",0,1,0,16,-0.664895159001047,17,0.941176470588235,0.470588207612458,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","NK_CD56bright",0,1,0,0,0.353462965678499,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","cDC2_2",0,0,0,0,2.0043450621098,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","gdT_2",0,0,0,1,-1.12932671625481,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Early-NK-cells","pDC",2,0,0,0,4.91425126457885,4,0.5,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Intermediate-Monocytes","CD14 Mono",531,15,29,0,0.76293753870229,575,0.923478260869565,0.474107142010523,"vaccine","AUCell","gmm_dist_dual"
